trade_date,ts_code,name,limit_type,close,up_limit,down_limit,open_times,fd_amount,first_time,last_time,limit_times,up_stat,industry,turnover_ratio,amount,float_mv,total_mv,seal_amount
20260810,603151.SH,邦基科技,U,14.12,14.12,11.56,0,27555180.0,104557,104557,1.0,1/1,饲料,2.98,69635408.0,2418499016.0,2418499016.0,27555180.0
20260810,603161.SH,科华控股,U,15.49,15.49,12.67,2,22655209.0,104035,135747,1.0,1/1,汽车零部件,5.69,164023257.0,2954698137.5,3011375350.45,22655209.0
20260810,603162.SH,海通发展,U,12.68,12.68,10.38,10,33879387.0,95312,134100,1.0,1/1,航运港口,12.73,670989072.0,5354122886.52,17432399281.28,33879387.0
20260810,603188.SH,亚邦股份,U,4.44,4.44,3.64,3,18345636.0,133135,133441,1.0,1/1,化学制品,5.13,126379639.0,2531554800.0,2531554800.0,18345636.0
20260810,603221.SH,爱丽家居,U,27.3,27.3,22.34,0,13416475.0,144709,144709,1.0,12/23,家居用品,12.89,816032320.0,6613971000.0,6613971000.0,13416475.0
20260810,603269.SH,海鸥股份,U,15.53,15.53,12.71,2,65189349.0,93548,94754,1.0,1/1,通用设备,4.49,299054000.0,6708113459.7,6708113428.64,65189349.0
20260810,603382.SH,海阳科技,U,20.0,20.0,16.36,5,10128000.0,95055,95943,1.0,1/1,化学纤维,6.04,137446977.0,2309717720.0,3625027360.0,10128000.0
20260810,603580.SH,艾艾精工,U,59.21,59.21,48.45,0,76055245.0,141320,141320,1.0,12/23,塑料,11.55,852984336.0,7737160172.0,7737160172.0,76055245.0
20260810,603711.SH,香飘飘,U,12.19,12.19,9.97,2,22163090.0,100313,101616,1.0,1/1,饮料乳品,2.46,119962592.0,5032935279.0,5032935230.24,22163090.0
20260810,603725.SH,天安新材,U,11.22,11.22,9.18,1,23651804.0,110851,111933,1.0,1/1,家居用品,9.25,307801792.0,3420503169.6,3420503169.6,23651804.0
20260810,603758.SH,秦安股份,U,11.53,11.53,9.43,0,37381124.0,93152,93152,2.0,2/2,汽车零部件,2.53,123553210.0,4993828044.97,4993828033.44,37381124.0
20260810,603797.SH,联泰环保,U,4.59,4.59,3.75,2,18094018.0,94243,101541,1.0,1/1,环境治理,4.68,121521105.0,2646617822.1,2646617794.56,18094018.0
20260810,605033.SH,美邦股份,U,19.6,19.6,16.04,1,29429400.0,94136,94245,1.0,1/1,农化制品,4.0,104466930.0,2649920000.0,2649920000.0,29429400.0
20260810,605128.SH,上海沿浦,U,25.08,25.08,20.52,0,38191121.0,130325,130325,1.0,1/1,汽车零部件,2.75,209510148.0,7874787514.44,7874787338.88,38191121.0
20260810,605162.SH,新中港,U,9.33,9.33,7.63,1,74607345.0,94205,94302,1.0,1/1,电力,4.91,197475177.0,4131756081.63,4131756016.32,74607345.0
20260810,605179.SH,一鸣食品,U,25.12,25.12,20.56,1,33884368.0,95945,100239,1.0,6/10,饮料乳品,7.74,740795952.0,10073120000.0,10073120000.0,33884368.0
20260810,605286.SH,同力天启,U,25.61,25.61,20.95,0,82879082.0,132321,132321,1.0,1/1,专用设备,3.14,128961491.0,4302480000.0,4302480000.0,82879082.0
20260810,688073.SH,毕得医药,U,73.92,73.92,49.28,5,17335792.0,95246,140507,2.0,2/2,医疗服务,11.62,760585424.0,6718067516.16,6718067516.16,17335792.0
