ts_code,trade_date,minute_freq,minute_rows,has_minute_data,first_limit_time,last_limit_time,limit_touch_count,open_board_count,max_drawdown_after_limit,reseal_count,reseal_minutes_avg,reseal_speed_score,reseal_acceptance_score,late_volume_ratio,late_price_weakness,late_limit_hold_minutes,late_withdraw_score,limitup_path_score,limitup_quality_score,intraday_risk_score,intraday_tag
000859.SZ,20260630,1min,241,1,09:36:00,15:00:00,1,0,3.0907,0,,0.0,46.4556,0.008394,0.0,31,0.0,70.0,70.4367,8.25,neutral_limitup
000938.SZ,20260630,1min,241,1,10:02:00,15:00:00,1,0,0.6237,0,,0.0,61.2578,0.013137,0.0,31,0.0,57.0,69.0273,10.2,neutral_limitup
000967.SZ,20260630,1min,241,1,13:01:00,15:00:00,1,0,1.1396,0,,0.0,58.1624,0.010623,0.0,31,0.0,45.0,62.6987,12.0,neutral_limitup
000970.SZ,20260630,1min,241,1,10:52:00,15:00:00,3,1,1.1192,1,8.0,74.0,72.1851,0.011762,0.0,31,0.0,61.8,74.4655,19.93,neutral_limitup
001229.SZ,20260630,1min,241,1,09:35:00,15:00:00,1,0,1.1289,0,,0.0,58.2269,0.005453,0.0,31,0.0,70.0,73.9681,8.25,neutral_limitup
001237.SZ,20260630,1min,241,1,11:10:00,15:00:00,1,0,0.2091,0,,0.0,63.7451,0.002068,0.0,31,0.0,45.0,64.3735,12.0,neutral_limitup
001314.SZ,20260630,1min,241,1,13:01:00,15:00:00,1,0,1.1812,0,,0.0,57.9126,0.022525,0.0,31,0.0,45.0,62.6238,12.0,neutral_limitup
001331.SZ,20260630,1min,241,1,09:33:00,15:00:00,14,13,4.1327,13,22.1538,42.8462,0.0,0.086815,0.0,10,60.0,0.0,10.0,79.2885,high_open_board_risk
001358.SZ,20260630,1min,241,1,10:50:00,15:00:00,1,0,1.1223,0,,0.0,58.2663,0.00457,0.0,31,0.0,57.0,68.1299,10.2,neutral_limitup
002009.SZ,20260630,1min,241,1,14:33:00,15:00:00,1,0,0.3868,0,,0.0,62.6789,0.210792,0.0,28,17.5426,15.6143,46.4445,20.7935,weak_limitup
002036.SZ,20260630,1min,241,1,09:38:00,15:00:00,2,1,2.1136,1,3.0,90.0,71.8184,0.011533,0.0,31,0.0,78.0,81.6455,13.5,healthy_limitup
002053.SZ,20260630,1min,241,1,10:04:00,15:00:00,1,0,1.5259,0,,0.0,55.8444,0.008557,0.0,31,0.0,57.0,67.4033,10.2,neutral_limitup
002106.SZ,20260630,1min,241,1,09:38:00,15:00:00,1,0,1.3699,0,,0.0,56.7808,0.012754,0.0,31,0.0,70.0,73.5342,8.25,neutral_limitup
002119.SZ,20260630,1min,241,1,14:11:00,15:00:00,1,0,0.8517,0,,0.0,59.8898,0.012617,0.0,31,0.0,45.0,63.2169,12.0,neutral_limitup
002167.SZ,20260630,1min,241,1,11:19:00,15:00:00,1,0,0.4531,0,,0.0,62.2814,0.004324,0.0,31,0.0,45.0,63.9344,12.0,neutral_limitup
002182.SZ,20260630,1min,241,1,11:05:00,15:00:00,1,0,0.6423,0,,0.0,61.1464,0.011357,0.0,31,0.0,45.0,63.5939,12.0,neutral_limitup
002202.SZ,20260630,1min,241,1,09:42:00,15:00:00,2,1,0.6695,1,2.0,95.0,82.2333,0.009602,0.0,31,0.0,79.0,85.22,12.1,healthy_limitup
002208.SZ,20260630,1min,241,1,13:02:00,15:00:00,2,3,0.5935,3,3.3333,92.6667,57.8725,0.007356,0.0,31,0.0,33.5333,57.4518,34.9033,high_open_board_risk
002273.SZ,20260630,1min,241,1,09:30:00,15:00:00,1,0,0.3664,0,,0.0,62.8016,0.073625,0.0,31,0.0,70.0,75.3405,8.25,healthy_limitup
002290.SZ,20260630,1min,241,1,13:02:00,15:00:00,2,3,0.9796,3,1.0,100.0,58.1221,0.014383,0.0,31,0.0,35.0,58.1866,32.85,high_open_board_risk
002310.SZ,20260630,1min,241,1,09:41:00,15:00:00,1,0,1.6736,0,,0.0,54.9582,0.01359,0.0,31,0.0,70.0,72.9874,8.25,neutral_limitup
002396.SZ,20260630,1min,241,1,09:44:00,15:00:00,1,0,0.7825,0,,0.0,60.3052,0.012391,0.0,31,0.0,70.0,74.5915,8.25,neutral_limitup
002402.SZ,20260630,1min,241,1,11:01:00,15:00:00,4,3,0.7356,3,6.0,82.0,53.2865,0.007287,0.0,31,0.0,31.4,55.116,37.89,high_open_board_risk
002407.SZ,20260630,1min,241,1,09:32:00,15:00:00,2,3,2.9066,3,2.3333,93.3333,44.2269,0.003547,0.0,31,0.0,58.6667,64.6681,30.9667,high_open_board_risk
002446.SZ,20260630,1min,241,1,09:45:00,15:00:00,2,0,1.3035,0,,0.0,57.1788,0.01876,0.0,31,0.0,70.0,73.6536,8.25,neutral_limitup
