trade_date,exec_date,target_date,ts_code,name,rank,sample_maturity,label_ready_fill,label_ready_ret,y_fill,fill_label_quality,entry_price_proxy_t1,entry_price_proxy_mode,dataset_split,sample_weight,is_cold_start,feature_coverage_score,label_version,buy_window_start,buy_window_end,open_t1,up_limit_t1,down_limit_t1,symbol,board,area,market,list_date,open,high,low,close,pct_chg,pre_close_est,returns_1d,high_low_range,candle_body,gap_open,vol,amount,turnover_rate,turnover_rate_f,volume_ratio,amihud_illiquidity,volatility_5d,volatility_10d,volatility_20d,atr,downside_vol,max_drawdown_20d,tail_risk_score,total_mv,float_mv,pe_ttm,pb,north_money_market,south_money_market,hgt_market,sgt_market,market_regime,hot_boards_score,board_crowding_rank,is_hot_board,board_rank,board_limit_up_count,is_st_like,top_list_net_buy,top_net_rate,amount_rate,float_values,abnormal_volume,has_namechange_record,latest_change_reason,ret_2d,ret_5d,ret_10d,bid_ask_proxy,spread_proxy,limit_type,open_times,fd_amount,seal_amount,first_seal_time,last_seal_time,open_times_break,fd_amount_break,seal_amount_break,first_time_break,last_time_break,up_limit,down_limit,is_limit_up,break_count_proxy,limit_up_strength,prior_prob_prior,prior_strength_score,prior_theme_boost,prior_board,prior_prob_prior__is_missing,prior_strength_score__is_missing,prior_theme_boost__is_missing
20260407,20260408,,603260.SH,合盛硅业,21,PFILL_READY,1,0,1,strong_open_tradable,44.0,t1_open,raw_train_pool,1.25,0,1.0,pfill_truth_v4_maturity_resolved,09:30:00,10:30:00,44.0,47.32,38.72,603260,化工原料,浙江,主板,20171030,40.0,43.02,40.0,43.02,9.9974,3.9118337061487263,9.9974,0.7720164574616465,0.7720164574616465,9.225383542538353,124584.1,525003.283,1.0538,4.5882,2.23,1.904254758726909e-05,,,,,,,,5085854.2602,,,,,,,,,23.0,1.0,1.0,1.0,23.0,0.0,,,,,,0.0,,,,,,,U,0.0,130367894.0,130367894.0,100155.0,100155.0,,,,,,43.02,35.2,1.0,0.0,2.618088033556099,0.0988604335990947,54.741935,0.83,化工原料,0,0,0
20260407,20260408,,603123.SH,翠微股份,22,PFILL_READY,1,0,1,strong_open_tradable,12.81,t1_open,raw_train_pool,1.25,0,1.0,pfill_truth_v4_maturity_resolved,09:30:00,10:30:00,12.81,14.48,11.84,603123,多元金融,北京,主板,20120503,12.3,13.16,12.3,13.16,10.0334,1.1927420378124602,10.0334,0.7210276595744677,0.7210276595744677,9.312372340425531,499778.29,647191.334,7.6621,15.4046,2.37,1.5502988796200414e-05,,,,,,,,1051137.4511,,,,,,,,,,,0.0,,,0.0,106358328.0,7.91,20.39,8583951488.84,20.39,0.0,,,,,,,U,2.0,147927243.0,147927243.0,93059.0,93332.0,,,,,,13.16,10.76,1.0,0.0,1.7509994190127198,0.2349984437920652,38.225806,0.0164,多元金融,0,0,0
20260407,20260408,,000919.SZ,金陵药业,23,PFILL_READY,1,0,1,strong_open_tradable,8.5,t1_open,raw_train_pool,1.25,0,1.0,pfill_truth_v4_maturity_resolved,09:30:00,10:30:00,8.5,8.91,7.29,919,化学制药,江苏,主板,19991118,7.36,8.1,7.18,8.1,10.0543,0.7327465330233484,10.0543,1.25555012345679,1.009899012345678,9.04440098765432,388469.84,305142.065,6.2478,10.7201,3.37,3.2949570554947905e-05,,,,,,,,503758.8677,,,,,,,,,4.0,7.0,1.0,7.0,4.0,0.0,,,,,,0.0,,,,,,,U,0.0,61651521.0,61651521.0,100548.0,100548.0,,,,,,8.1,6.62,1.0,0.0,2.424070366823848,0.1911785923406322,46.655914,0.1736599148755986,化学制药,0,0,0
20260407,20260408,,603002.SH,宏昌电子,24,PFILL_READY,1,0,1,strong_open_tradable,10.74,t1_open,raw_train_pool,1.25,0,1.0,pfill_truth_v4_maturity_resolved,09:30:00,10:30:00,10.74,11.74,9.6,603002,化工原料,广东,主板,20120518,9.95,10.67,9.9,10.67,10.0,0.97,10.0,0.7938144329896903,0.7422680412371141,9.257731958762886,338480.0,355188.575,2.9846,6.3666,1.02,2.815405872781803e-05,,,,,,,,1210061.7691,,,,,,,,,23.0,1.0,1.0,1.0,23.0,0.0,,,,,,0.0,,,,,,,U,0.0,52881587.0,52881587.0,93724.0,93724.0,,,,,,10.67,8.73,1.0,0.0,2.399308842636944,0.0645954559310603,65.344086,0.83,化工原料,0,0,0
20260407,20260408,,603687.SH,大胜达,25,PFILL_READY,1,0,1,strong_open_tradable,17.1,t1_open,raw_train_pool,1.25,0,1.0,pfill_truth_v4_maturity_resolved,09:30:00,10:30:00,17.1,18.02,14.74,603687,广告包装,浙江,主板,20190726,15.19,16.38,14.8,16.38,10.0067,1.488184469459511,10.0067,1.061696336996336,0.799632051282051,9.207067948717947,653535.0,1037176.962,11.8818,23.5542,0.72,9.648016073075869e-06,,,,,,,,900952.1932,,,,,,,,,,,0.0,,,0.0,,,,,,0.0,,,,,,,U,1.0,49117068.0,49117068.0,94748.0,94836.0,,,,,,16.38,13.4,1.0,0.0,1.638679888271887,0.2026913558900721,48.032258,0.01,广告包装,0,0,0
20260407,20260408,,603637.SH,镇海股份,26,PFILL_READY,1,0,1,strong_open_tradable,12.87,t1_open,raw_train_pool,1.25,0,1.0,pfill_truth_v4_maturity_resolved,09:30:00,10:30:00,12.87,14.0,11.46,603637,建筑工程,浙江,主板,20170208,12.48,12.73,12.19,12.73,10.0259,1.1545542767483834,10.0259,0.467712961508249,0.2165337784760408,9.80936622152396,72358.82,91388.083,3.0316,3.8479,1.44,0.0001097068640776,,,,,,,,303847.1214,,,,,,,,,5.0,4.0,1.0,4.0,5.0,0.0,,,,,,0.0,,,,,,,U,0.0,41276439.0,41276439.0,93125.0,93125.0,,,,,,12.73,10.41,1.0,0.0,2.366542216013003,0.0829865980780864,66.225806,0.4258611773793213,建筑工程,0,0,0
20260407,20260408,,000830.SZ,鲁西化工,27,PFILL_READY,1,0,1,strong_open_tradable,16.23,t1_open,raw_train_pool,1.25,0,1.0,pfill_truth_v4_maturity_resolved,09:30:00,10:30:00,16.23,18.56,15.18,830,化工原料,山东,主板,19980807,15.31,16.87,15.31,16.87,9.9739,1.537283919117178,9.9739,1.0147767634854774,1.0147767634854774,8.959123236514523,528753.76,871893.688,2.7768,5.4373,1.47,1.1439353372173972e-05,,,,,,,,3212586.1716,,,,,,,,,23.0,1.0,1.0,1.0,23.0,0.0,,,,,,0.0,,,,,,,U,0.0,63465159.0,63465159.0,134033.0,134033.0,,,,,,16.87,13.81,1.0,0.0,2.4291910942094006,0.0567797756245809,59.236559,0.83,化工原料,0,0,0
20260407,20260408,,605589.SH,圣泉集团,28,PFILL_READY,1,0,1,strong_open_tradable,36.0,t1_open,raw_train_pool,1.25,0,1.0,pfill_truth_v4_maturity_resolved,09:30:00,10:30:00,36.0,39.24,32.1,605589,化工原料,山东,主板,20210810,34.6,35.67,34.38,35.67,9.9907,3.2454711710810047,9.9907,0.3974769554247264,0.3296901878329129,9.661009812167087,398601.85,1411727.825,4.725,6.3377,2.29,7.07693071077635e-06,,,,,,,,3019067.7724,,,,,,,,,23.0,1.0,1.0,1.0,23.0,0.0,66435586.91,2.66,20.77,30091211928.66,20.77,0.0,,,,,,,U,2.0,130841127.0,130841127.0,93642.0,93903.0,,,,,,35.67,29.19,1.0,0.0,1.9527575195190348,0.0960766551080452,45.043011,0.8363999999999999,化工原料,0,0,0
20260407,20260408,,000990.SZ,诚志股份,29,PFILL_READY,1,0,1,strong_open_tradable,9.6,t1_open,raw_train_pool,1.25,0,1.0,pfill_truth_v4_maturity_resolved,09:30:00,10:30:00,9.6,11.26,9.22,990,化工原料,江西,主板,20000706,9.38,10.24,9.34,10.24,9.9893,0.9318154932525274,9.9893,0.9658564453125004,0.9229294921874994,9.0663705078125,399549.02,397588.09,3.2878,6.1572,0.64,2.512474656874153e-05,,,,,,,,1244403.2358,,,,,,,,,23.0,1.0,1.0,1.0,23.0,0.0,,,,,,0.0,,,,,,,U,0.0,41223168.0,41223168.0,100321.0,100321.0,,,,,,10.24,8.38,1.0,0.0,2.366391807679832,0.0275383189481825,68.956989,0.83,化工原料,0,0,0
20260407,20260408,,603255.SH,鼎际得,30,PFILL_READY,1,0,1,strong_open_tradable,29.68,t1_open,raw_train_pool,1.25,0,1.0,pfill_truth_v4_maturity_resolved,09:30:00,10:30:00,29.68,32.34,26.46,603255,化工原料,辽宁,主板,20220818,26.73,29.4,26.59,29.4,9.9888,2.675451368666278,9.9888,1.0502900680272105,0.9979624489795912,8.990837551020409,24919.0,71773.212,4.1069,6.4941,2.64,0.0001391717009961,,,,,,,,395699.501,,,,,,,,,23.0,1.0,1.0,1.0,23.0,0.0,,,,,,0.0,,,,,,,U,0.0,11457180.0,11457180.0,104620.0,104620.0,,,,,,29.4,24.06,1.0,0.0,2.282348845462659,0.0159190793236485,72.806452,0.83,化工原料,0,0,0
