trade_date,exec_date,target_date,ts_code,name,rank,prob,StrengthScore,ThemeBoost,board,sample_maturity,label_ready_fill,label_ready_ret,y_fill,fill_label_quality,entry_price_proxy_t1,entry_price_proxy_mode,label_version,buy_window_start,buy_window_end,run_id,run_attempt,commit_sha,generated_at_utc,limit_type,open_times,fd_amount,seal_amount,first_seal_time,last_seal_time,open_times_break,fd_amount_break,seal_amount_break,first_time_break,last_time_break,up_limit,down_limit,is_hot_board,board_rank,board_limit_up_count,is_st_like,is_limit_up,break_count_proxy,limit_up_strength,open_t1,high_t1,low_t1,close_t1,vol_t1,amount_t1,pct_chg_t1,up_limit_t1,down_limit_t1,limit_type_t1,open_times_t1,seal_amount_t1
20260305,20260306,,000555.SZ,神州信息,32,0.0932722179814145,57.550725,0.3601210427490234,软件服务,PFILL_READY,1,0,1,strong_open_tradable,18.0,open_t1,pfill_truth_v3_candidate_pool,09:30:00,10:30:00,22716870000,1,3086851ec77d64e6577b0adbb3619207f4272071,2026-03-05T11:59:41Z,U,0.0,104886743.0,104886743.0,95703.0,95703.0,,,,,,18.02,14.74,1.0,5.0,4.0,0.0,1.0,0.0,2.4630739598759828,18.0,18.4,17.66,18.33,896127.24,1632578.401,1.7203,19.82,16.22,,,
20260305,20260306,,603067.SH,振华股份,33,0.0813974144545046,54.57971,0.479801681970459,化工原料,PFILL_READY,1,0,1,strong_open_tradable,47.0,open_t1,pfill_truth_v3_candidate_pool,09:30:00,10:30:00,22716870000,1,3086851ec77d64e6577b0adbb3619207f4272071,2026-03-05T11:59:41Z,U,2.0,47828649.0,47828649.0,134014.0,140259.0,,,,,,45.87,37.53,1.0,4.0,5.0,0.0,1.0,0.0,1.6804956566781288,47.0,48.35,44.4,46.72,410300.39,1903586.993,1.8531,50.46,41.28,,,
20260305,20260306,,002559.SZ,亚威股份,34,0.0708363671836938,63.521739,0.1069133379015616,机床制造,PFILL_READY,1,0,1,strong_open_tradable,10.3,open_t1,pfill_truth_v3_candidate_pool,09:30:00,10:30:00,22716870000,1,3086851ec77d64e6577b0adbb3619207f4272071,2026-03-05T11:59:41Z,U,0.0,80356998.0,80356998.0,110909.0,110909.0,,,,,,10.47,8.57,1.0,8.0,2.0,0.0,1.0,0.0,2.41324259175067,10.3,10.34,10.03,10.18,347535.3,353308.41,-2.7698,11.52,9.42,,,
20260305,20260306,,300162.SZ,雷曼光电,35,0.0670599741173652,40.985507,1.0,元器件,PFILL_READY,1,0,1,strong_open_tradable,9.2,open_t1,pfill_truth_v3_candidate_pool,09:30:00,10:30:00,22716870000,1,3086851ec77d64e6577b0adbb3619207f4272071,2026-03-05T11:59:41Z,U,0.0,104249616.0,104249616.0,93448.0,93448.0,,,,,,9.48,6.32,1.0,1.0,18.0,0.0,1.0,0.0,2.4617796573840662,9.2,9.87,9.03,9.44,1045364.58,984020.627,-0.4219,11.38,7.58,,,
20260305,20260306,,002449.SZ,国星光电,36,0.063610886221673,72.130435,0.6230854212758787,半导体,PFILL_READY,1,0,1,strong_open_tradable,9.39,open_t1,pfill_truth_v3_candidate_pool,09:30:00,10:30:00,22716870000,1,3086851ec77d64e6577b0adbb3619207f4272071,2026-03-05T11:59:41Z,U,0.0,91298734.0,91298734.0,93000.0,93000.0,,,,,,8.76,7.16,1.0,3.0,6.0,0.0,1.0,0.0,2.4354703676425915,9.39,9.39,8.75,8.82,885922.77,801100.398,0.6849,9.64,7.88,,,
20260305,20260306,,000815.SZ,美利云,37,0.0515873706978747,40.072464,0.2566570212508551,通信设备,PFILL_READY,1,0,1,strong_open_tradable,15.17,open_t1,pfill_truth_v3_candidate_pool,09:30:00,10:30:00,22716870000,1,3086851ec77d64e6577b0adbb3619207f4272071,2026-03-05T11:59:41Z,U,8.0,28513641.0,28513641.0,131221.0,145606.0,,,,,,14.83,12.13,1.0,7.0,3.0,0.0,1.0,0.0,1.4190356325957012,15.17,16.31,15.08,16.31,961485.03,1508224.628,9.9798,16.31,13.35,U,0.0,215734359.0
20260305,20260306,,600666.SH,奥瑞德,38,0.0492471457304321,67.028986,1.0,元器件,PFILL_READY,1,0,1,strong_open_tradable,3.96,open_t1,pfill_truth_v3_candidate_pool,09:30:00,10:30:00,22716870000,1,3086851ec77d64e6577b0adbb3619207f4272071,2026-03-05T11:59:41Z,U,1.0,71152052.0,71152052.0,93458.0,135816.0,,,,,,3.98,3.26,1.0,1.0,18.0,0.0,1.0,0.0,1.8945430474749496,3.96,4.05,3.9,4.02,2824340.8,1128067.271,1.005,4.38,3.58,,,
20260305,20260306,,002952.SZ,亚世光电,39,0.0477245668928666,49.956522,1.0,元器件,PFILL_READY,1,0,1,strong_open_tradable,25.75,open_t1,pfill_truth_v3_candidate_pool,09:30:00,10:30:00,22716870000,1,3086851ec77d64e6577b0adbb3619207f4272071,2026-03-05T11:59:41Z,U,2.0,36888000.0,36888000.0,94436.0,94612.0,,,,,,26.5,21.68,1.0,1.0,18.0,0.0,1.0,0.0,1.6582700889908644,25.75,28.5,24.75,26.13,244981.31,642052.106,-1.3962,29.15,23.85,,,
20260305,20260306,,600590.SH,泰豪科技,40,0.0421271078727462,50.565217,0.1766570212508551,通信设备,PFILL_READY,1,0,1,strong_open_tradable,15.86,open_t1,pfill_truth_v3_candidate_pool,09:30:00,10:30:00,22716870000,1,3086851ec77d64e6577b0adbb3619207f4272071,2026-03-05T11:59:41Z,U,0.0,92628075.0,92628075.0,131124.0,131124.0,,,,,,14.71,12.03,1.0,7.0,3.0,0.0,1.0,0.0,2.4381708800504898,15.86,16.18,15.8,16.18,309543.55,498375.625,9.9932,16.18,13.24,U,0.0,244903440.0
20260305,20260306,,300708.SZ,聚灿光电,41,0.0405714829256275,23.550725,0.7030854212758787,半导体,PFILL_READY,1,0,1,strong_open_tradable,12.02,open_t1,pfill_truth_v3_candidate_pool,09:30:00,10:30:00,22716870000,1,3086851ec77d64e6577b0adbb3619207f4272071,2026-03-05T11:59:41Z,U,11.0,14775603.0,14775603.0,100309.0,145036.0,,,,,,12.52,8.34,1.0,3.0,6.0,0.0,1.0,0.0,1.3633494836180786,12.02,12.27,11.44,11.77,2365835.09,2801291.032,-5.9904,15.02,10.02,,,
20260305,20260306,,300265.SZ,通光线缆,42,0.0392174447042998,25.57971,0.8746272018253463,电气设备,PFILL_READY,1,0,1,strong_open_tradable,21.87,open_t1,pfill_truth_v3_candidate_pool,09:30:00,10:30:00,22716870000,1,3086851ec77d64e6577b0adbb3619207f4272071,2026-03-05T11:59:41Z,U,8.0,37210438.0,37210438.0,93406.0,144536.0,,,,,,21.46,14.3,1.0,2.0,10.0,0.0,1.0,0.0,1.4367028889335929,21.87,21.99,20.42,20.61,1324070.44,2765493.561,-3.9609,25.75,17.17,,,
