trade_date,exec_date,target_date,entry_date,exit_date,ts_code,name,rank,prob,StrengthScore,ThemeBoost,board,sample_maturity,label_ready_fill,label_ready_ret,y_fill,fill_label_quality,eret_sample_eligible,eret_label_quality,entry_price_t1,entry_price_t_opening_auction,entry_price_proxy_t1,entry_price_proxy_mode,take_profit_price_tplus1,stop_loss_price_tplus1,latest_exit_time,exit_policy_version,exit_price_tplus1_timed,exit_price_tplus1_open,exit_price_source,exit_on_time,exit_reason,exit_price_t2_close,close_t2,realized_ret_open_to_tplus1_open_0930,realized_ret_t1_to_t2,premium_ret_t1_to_t2,eret_truth_version,return_holding_mode,execution_contract,run_id,run_attempt,commit_sha,generated_at_utc,buy_window_start,buy_window_end,open_t1,high_t1,low_t1,close_t1,market_target_date,open_t2,high_t2,low_t2,pre_close_t2,vol_t2,amount_t2,pct_chg_t2,auction_price_t2,auction_amount_t2,down_limit_t2
20260820,20260821,20260824,20260821,20260824,002412.SZ,汉森制药,21,0.1931267285581614,44.525424,0.0164,中药Ⅱ,FULLY_READY,1,1,0,strong_opening_auction_limit_up_unconfirmed,0,not_filled_no_trade,,,,,,,09:30,tplus1_open_0930_v1,,10.9,,0,missing_entry_reference,11.21,11.21,,,,eret_truth_v5_tplus1_open0930,manual_buy_t_0925_auction_to_tplus1_open0930_exit,D_signal_manual_T_0925_auction_guidance_Tplus1_open0930_exit,32366130157,1,dc8e35f1a0bd9c49cd20229aad2aa920e3e5862d,2026-08-20T11:56:11Z,09:20:00,09:24:50,10.19,10.19,10.19,10.19,20260824,10.9,11.21,10.89,10.19,365059.95,403946.81177,10.0098,10.9,143452720.0,9.17
20260820,20260821,20260824,20260821,20260824,002038.SZ,双鹭药业,22,0.1907843936419732,60.508475,0.6729057079444091,化学制药,FULLY_READY,1,1,0,strong_opening_auction_limit_up_unconfirmed,0,not_filled_no_trade,,,,,,,09:30,tplus1_open_0930_v1,,6.93,,0,missing_entry_reference,6.37,6.37,,,,eret_truth_v5_tplus1_open0930,manual_buy_t_0925_auction_to_tplus1_open0930_exit,D_signal_manual_T_0925_auction_guidance_Tplus1_open0930_exit,32366130157,1,dc8e35f1a0bd9c49cd20229aad2aa920e3e5862d,2026-08-20T11:56:11Z,09:20:00,09:24:50,7.08,7.08,6.93,7.08,20260824,6.93,7.08,6.37,7.08,1279075.42,842515.13179,-10.0282,6.93,35189847.0,6.37
20260820,20260821,20260824,20260821,20260824,002903.SZ,宇环数控,23,0.1903134293717992,65.169492,0.01,通用设备,FULLY_READY,1,1,1,strong_official_opening_auction,1,strong_tplus1_open_0930_fixed_open_0930,31.7,31.7,31.7,t_opening_auction,,,09:30,tplus1_open_0930_v1,34.24,34.24,tplus1_open_0930,1,fixed_open_0930,32.68,32.68,0.08012618296529972,0.08012618296529972,0.0309148264984227,eret_truth_v5_tplus1_open0930,manual_buy_t_0925_auction_to_tplus1_open0930_exit,D_signal_manual_T_0925_auction_guidance_Tplus1_open0930_exit,32366130157,1,dc8e35f1a0bd9c49cd20229aad2aa920e3e5862d,2026-08-20T11:56:11Z,09:20:00,09:24:50,31.7,33.74,30.76,33.74,20260824,34.24,34.49,31.0,33.74,292798.59,949800.09458,-3.1417,34.24,35580667.2,30.37
20260820,20260821,20260824,20260821,20260824,603626.SH,科森科技,24,0.1888855532708889,58.118644,0.01,消费电子,FULLY_READY,1,1,1,strong_official_opening_auction,1,strong_tplus1_open_0930_fixed_open_0930,17.5,17.5,17.5,t_opening_auction,,,09:30,tplus1_open_0930_v1,18.4,18.4,tplus1_open_0930,1,fixed_open_0930,19.48,19.48,0.05142857142857138,0.05142857142857138,0.11314285714285721,eret_truth_v5_tplus1_open0930,manual_buy_t_0925_auction_to_tplus1_open0930_exit,D_signal_manual_T_0925_auction_guidance_Tplus1_open0930_exit,32366130157,1,dc8e35f1a0bd9c49cd20229aad2aa920e3e5862d,2026-08-20T11:56:11Z,09:20:00,09:24:50,17.5,18.65,17.49,18.65,20260824,18.4,20.27,18.4,18.65,1082660.46,2085950.096,4.4504,18.4,57095200.0,16.79
20260820,20260821,20260824,20260821,20260824,002399.SZ,海普瑞,25,0.1888826515966915,56.084746,0.6729057079444091,化学制药,FULLY_READY,1,1,1,strong_official_opening_auction,1,strong_tplus1_open_0930_fixed_open_0930,11.51,11.51,11.51,t_opening_auction,,,09:30,tplus1_open_0930_v1,10.4,10.4,tplus1_open_0930,1,fixed_open_0930,10.0,10.0,-0.09643788010425713,-0.09643788010425713,-0.13119026933101652,eret_truth_v5_tplus1_open0930,manual_buy_t_0925_auction_to_tplus1_open0930_exit,D_signal_manual_T_0925_auction_guidance_Tplus1_open0930_exit,32366130157,1,dc8e35f1a0bd9c49cd20229aad2aa920e3e5862d,2026-08-20T11:56:11Z,09:20:00,09:24:50,11.51,11.57,10.45,10.47,20260824,10.4,10.46,9.98,10.47,125122.34,127325.98524,-4.489,10.4,6901440.0,9.42
20260820,20260821,20260824,20260821,20260824,603988.SH,中电电机,26,0.1877266155129387,45.830508,0.01,电机Ⅱ,FULLY_READY,1,1,1,strong_official_opening_auction,1,strong_tplus1_open_0930_fixed_open_0930,21.78,21.78,21.78,t_opening_auction,,,09:30,tplus1_open_0930_v1,20.69,20.69,tplus1_open_0930,1,fixed_open_0930,20.76,20.76,-0.05004591368227729,-0.05004591368227729,-0.04683195592286504,eret_truth_v5_tplus1_open0930,manual_buy_t_0925_auction_to_tplus1_open0930_exit,D_signal_manual_T_0925_auction_guidance_Tplus1_open0930_exit,32366130157,1,dc8e35f1a0bd9c49cd20229aad2aa920e3e5862d,2026-08-20T11:56:11Z,09:20:00,09:24:50,21.78,21.78,20.14,20.79,20260824,20.69,21.3,20.16,20.79,113134.0,234268.739,-0.1443,20.69,1615889.0,18.71
20260820,20260821,20260824,20260821,20260824,603637.SH,镇海股份,27,0.1814333124620611,60.050847,0.0573942950693908,专业工程,FULLY_READY,1,1,1,strong_official_opening_auction,1,strong_tplus1_open_0930_fixed_open_0930,14.08,14.08,14.08,t_opening_auction,,,09:30,tplus1_open_0930_v1,12.97,12.97,tplus1_open_0930,1,fixed_open_0930,12.75,12.75,-0.07883522727272729,-0.07883522727272729,-0.09446022727272729,eret_truth_v5_tplus1_open0930,manual_buy_t_0925_auction_to_tplus1_open0930_exit,D_signal_manual_T_0925_auction_guidance_Tplus1_open0930_exit,32366130157,1,dc8e35f1a0bd9c49cd20229aad2aa920e3e5862d,2026-08-20T11:56:11Z,09:20:00,09:24:50,14.08,14.2,12.66,13.04,20260824,12.97,13.09,12.41,13.04,83647.5,106980.108,-2.2239,12.97,806734.0,11.74
20260820,20260821,20260824,20260821,20260824,603580.SH,艾艾精工,28,0.1765439636527536,59.254237,0.01,塑料,FULLY_READY,1,1,1,strong_official_opening_auction,1,strong_tplus1_open_0930_fixed_open_0930,77.1,77.1,77.1,t_opening_auction,,,09:30,tplus1_open_0930_v1,80.21,80.21,tplus1_open_0930,1,fixed_open_0930,72.8,72.8,0.04033722438391685,0.04033722438391685,-0.055771725032425445,eret_truth_v5_tplus1_open0930,manual_buy_t_0925_auction_to_tplus1_open0930_exit,D_signal_manual_T_0925_auction_guidance_Tplus1_open0930_exit,32366130157,1,dc8e35f1a0bd9c49cd20229aad2aa920e3e5862d,2026-08-20T11:56:11Z,09:20:00,09:24:50,77.1,82.27,73.0,80.78,20260824,80.21,80.21,72.7,80.78,145059.43,1078551.523,-9.8787,80.21,33519759.0,72.7
20260820,20260821,20260824,20260821,20260824,601700.SH,风范股份,29,0.17313450921751,50.661017,0.2454420922806225,电网设备,FULLY_READY,1,1,1,strong_official_opening_auction,1,strong_tplus1_open_0930_fixed_open_0930,7.53,7.53,7.53,t_opening_auction,,,09:30,tplus1_open_0930_v1,6.88,6.88,tplus1_open_0930,1,fixed_open_0930,7.71,7.71,-0.08632138114209831,-0.08632138114209831,0.0239043824701195,eret_truth_v5_tplus1_open0930,manual_buy_t_0925_auction_to_tplus1_open0930_exit,D_signal_manual_T_0925_auction_guidance_Tplus1_open0930_exit,32366130157,1,dc8e35f1a0bd9c49cd20229aad2aa920e3e5862d,2026-08-20T11:56:11Z,09:20:00,09:24:50,7.53,7.57,6.76,7.01,20260824,6.88,7.71,6.6,7.01,1656085.11,1221491.321,9.9857,6.88,17448368.0,6.31
20260820,20260821,20260824,20260821,20260824,603392.SH,万泰生物,30,0.1718541317004983,46.949153,0.5394931282264485,医疗器械,FULLY_READY,1,1,1,strong_official_opening_auction,1,strong_tplus1_open_0930_fixed_open_0930,30.6,30.6,30.6,t_opening_auction,,,09:30,tplus1_open_0930_v1,30.2,30.2,tplus1_open_0930,1,fixed_open_0930,28.09,28.09,-0.013071895424836555,-0.013071895424836555,-0.08202614379084971,eret_truth_v5_tplus1_open0930,manual_buy_t_0925_auction_to_tplus1_open0930_exit,D_signal_manual_T_0925_auction_guidance_Tplus1_open0930_exit,32366130157,1,dc8e35f1a0bd9c49cd20229aad2aa920e3e5862d,2026-08-20T11:56:11Z,09:20:00,09:24:50,30.6,32.55,29.96,30.59,20260824,30.2,30.9,28.0,30.59,140652.06,410996.627,-8.1726,30.2,8389560.0,27.53
