trade_date,exec_date,target_date,entry_date,exit_date,ts_code,name,rank,prob,StrengthScore,ThemeBoost,board,sample_maturity,label_ready_fill,label_ready_ret,y_fill,fill_label_quality,eret_sample_eligible,eret_label_quality,entry_price_t1,entry_price_proxy_t1,entry_price_proxy_mode,exit_price_t2_close,close_t2,realized_ret_t1_to_t2,premium_ret_t1_to_t2,eret_truth_version,return_holding_mode,run_id,run_attempt,commit_sha,generated_at_utc,target_date_x,buy_window_start,buy_window_end,open_t1,high_t1,low_t1,close_t1,target_date_y,open_t2,high_t2,low_t2,vol_t2,amount_t2,pct_chg_t2
20260305,20260306,20260309,20260306,20260309,300389.SZ,艾比森,21,0.2649146469354392,44.0,1.0,元器件,PFILL_READY,1,1,1,strong_open_tradable,1,strong_close_t2_over_entry_proxy_t1,19.81,19.81,open_t1,18.85,18.85,-0.04846037354871269,-0.04846037354871269,eret_truth_v1_from_fill_truth_and_t2_close,buy_t1_entry_proxy_to_sell_t2_close,22716870000,1,3086851ec77d64e6577b0adbb3619207f4272071,2026-03-05T11:59:41Z,,09:30:00,10:30:00,19.81,19.81,18.54,19.2,20260309,18.6,18.96,18.42,268853.99,501612.362,-1.8229
20260305,20260306,20260309,20260306,20260309,002456.SZ,欧菲光,22,0.2378789687496726,53.666667,1.0,元器件,PFILL_READY,1,1,1,strong_open_tradable,1,strong_close_t2_over_entry_proxy_t1,9.59,9.59,open_t1,9.48,9.48,-0.01147028154327423,-0.01147028154327423,eret_truth_v1_from_fill_truth_and_t2_close,buy_t1_entry_proxy_to_sell_t2_close,22716870000,1,3086851ec77d64e6577b0adbb3619207f4272071,2026-03-05T11:59:41Z,,09:30:00,10:30:00,9.59,9.6,9.39,9.54,20260309,9.35,9.56,9.31,821192.07,773112.886,-0.6289
20260305,20260306,20260309,20260306,20260309,002845.SZ,同兴达,23,0.2250089875583727,68.507246,1.0,元器件,PFILL_READY,1,1,1,strong_open_tradable,1,strong_close_t2_over_entry_proxy_t1,15.55,15.55,open_t1,15.55,15.55,0.0,0.0,eret_truth_v1_from_fill_truth_and_t2_close,buy_t1_entry_proxy_to_sell_t2_close,22716870000,1,3086851ec77d64e6577b0adbb3619207f4272071,2026-03-05T11:59:41Z,,09:30:00,10:30:00,15.55,15.76,15.25,15.66,20260309,15.47,15.62,15.28,138312.14,213686.701,-0.7024
20260305,20260306,20260309,20260306,20260309,600844.SH,金煤科技,24,0.2212621597162275,65.405797,0.479801681970459,化工原料,PFILL_READY,1,1,1,strong_open_tradable,1,strong_close_t2_over_entry_proxy_t1,3.53,3.53,open_t1,3.54,3.54,0.0028328611898018607,0.0028328611898018607,eret_truth_v1_from_fill_truth_and_t2_close,buy_t1_entry_proxy_to_sell_t2_close,22716870000,1,3086851ec77d64e6577b0adbb3619207f4272071,2026-03-05T11:59:41Z,,09:30:00,10:30:00,3.53,3.6,3.39,3.5,20260309,3.7,3.85,3.52,1556359.07,576227.616,1.1429
20260305,20260306,20260309,20260306,20260309,600468.SH,百利电气,25,0.2143559136058405,37.144928,0.8746272018253463,电气设备,PFILL_READY,1,1,1,strong_open_tradable,1,strong_close_t2_over_entry_proxy_t1,8.5,8.5,open_t1,9.04,9.04,0.06352941176470583,0.06352941176470583,eret_truth_v1_from_fill_truth_and_t2_close,buy_t1_entry_proxy_to_sell_t2_close,22716870000,1,3086851ec77d64e6577b0adbb3619207f4272071,2026-03-05T11:59:41Z,,09:30:00,10:30:00,8.5,9.1,8.36,8.73,20260309,8.53,9.35,8.53,1539692.64,1375256.034,3.551
20260305,20260306,20260309,20260306,20260309,688031.SH,星环科技-U,26,0.1731349907909972,36.275362,0.4401210427490234,软件服务,PFILL_READY,1,1,1,strong_open_tradable,1,strong_close_t2_over_entry_proxy_t1,223.22,223.22,open_t1,240.99,240.99,0.07960756204641162,0.07960756204641162,eret_truth_v1_from_fill_truth_and_t2_close,buy_t1_entry_proxy_to_sell_t2_close,22716870000,1,3086851ec77d64e6577b0adbb3619207f4272071,2026-03-05T11:59:41Z,,09:30:00,10:30:00,223.22,255.0,223.22,253.0,20260309,245.0,253.0,223.5,134842.41,3158012.247,-4.747
20260305,20260306,20260309,20260306,20260309,603688.SH,石英股份,27,0.1658369581287772,70.275362,0.0486585167657964,矿物制品,PFILL_READY,1,1,1,strong_open_tradable,1,strong_close_t2_over_entry_proxy_t1,52.04,52.04,open_t1,51.02,51.02,-0.0196003074558031,-0.0196003074558031,eret_truth_v1_from_fill_truth_and_t2_close,buy_t1_entry_proxy_to_sell_t2_close,22716870000,1,3086851ec77d64e6577b0adbb3619207f4272071,2026-03-05T11:59:41Z,,09:30:00,10:30:00,52.04,55.75,52.04,53.59,20260309,51.19,51.99,49.0,291592.67,1464343.044,-4.7957
20260305,20260306,20260309,20260306,20260309,300072.SZ,海新能科,28,0.1536175598068094,32.26087,0.559801681970459,化工原料,PFILL_READY,1,1,1,strong_open_tradable,1,strong_close_t2_over_entry_proxy_t1,5.55,5.55,open_t1,5.64,5.64,0.016216216216216273,0.016216216216216273,eret_truth_v1_from_fill_truth_and_t2_close,buy_t1_entry_proxy_to_sell_t2_close,22716870000,1,3086851ec77d64e6577b0adbb3619207f4272071,2026-03-05T11:59:41Z,,09:30:00,10:30:00,5.55,5.7,5.47,5.54,20260309,5.96,6.21,5.62,2966769.85,1750517.426,1.8051
20260305,20260306,20260309,20260306,20260309,600516.SH,方大炭素,29,0.1182718776363793,33.811594,0.1286585167657964,矿物制品,PFILL_READY,1,1,1,strong_open_tradable,1,strong_close_t2_over_entry_proxy_t1,6.77,6.77,open_t1,6.67,6.67,-0.01477104874446078,-0.01477104874446078,eret_truth_v1_from_fill_truth_and_t2_close,buy_t1_entry_proxy_to_sell_t2_close,22716870000,1,3086851ec77d64e6577b0adbb3619207f4272071,2026-03-05T11:59:41Z,,09:30:00,10:30:00,6.77,6.88,6.62,6.73,20260309,6.66,6.84,6.47,1848719.48,1226218.631,-0.8915
20260305,20260306,20260309,20260306,20260309,600800.SH,渤海化学,30,0.1171391495994511,42.623188,0.559801681970459,化工原料,PFILL_READY,1,1,1,strong_open_tradable,1,strong_close_t2_over_entry_proxy_t1,4.7,4.7,open_t1,5.12,5.12,0.08936170212765959,0.08936170212765959,eret_truth_v1_from_fill_truth_and_t2_close,buy_t1_entry_proxy_to_sell_t2_close,22716870000,1,3086851ec77d64e6577b0adbb3619207f4272071,2026-03-05T11:59:41Z,,09:30:00,10:30:00,4.7,5.29,4.66,5.09,20260309,5.17,5.43,4.81,1363095.82,708776.654,0.5894
