trade_date,exec_date,target_date,ts_code,name,rank,prob,StrengthScore,ThemeBoost,board,sample_maturity,label_ready_fill,label_ready_ret,y_fill,fill_label_quality,entry_price_proxy_t1,entry_price_proxy_mode,label_version,buy_window_start,buy_window_end,run_id,run_attempt,commit_sha,generated_at_utc,limit_type,open_times,fd_amount,seal_amount,first_seal_time,last_seal_time,open_times_break,fd_amount_break,seal_amount_break,first_time_break,last_time_break,up_limit,down_limit,is_hot_board,board_rank,board_limit_up_count,is_st_like,is_limit_up,break_count_proxy,limit_up_strength,open_t1,up_limit_t1,down_limit_t1,open_times_t1
20260428,20260429,20260430,001266.SZ,宏英智能,1,0.9010346805184382,67.474576,0.01,电器仪表,PFILL_READY,1,0,0,strong_dead_limit_up,,,pfill_truth_v4_maturity_resolved,09:30:00,10:30:00,25055100748,1,467d730c3a9bae04310727c0ad8e80b59803766b,2026-04-28T13:17:38Z,U,0.0,272189870.0,272189870.0,92500.0,92500.0,,,,,,35.93,29.39,0.0,,,0.0,1.0,0.0,2.3221291741445595,39.52,39.52,32.34,0.0
20260428,20260429,20260430,603629.SH,利通电子,2,0.4098701471349766,57.627119,0.01,元器件,PFILL_READY,1,0,1,strong_open_tradable,130.99,t1_open,pfill_truth_v4_maturity_resolved,09:30:00,10:30:00,25055100748,1,467d730c3a9bae04310727c0ad8e80b59803766b,2026-04-28T13:17:38Z,U,0.0,552398585.0,552398585.0,92502.0,92502.0,,,,,,119.35,97.65,1.0,10.0,2.0,0.0,1.0,0.0,2.903748429302947,130.99,131.29,107.42,1.0
20260428,20260429,20260430,600744.SH,华银电力,3,0.4402956068496471,35.508475,0.01,火力发电,PFILL_READY,1,0,1,strong_open_tradable,8.99,t1_open,pfill_truth_v4_maturity_resolved,09:30:00,10:30:00,25055100748,1,467d730c3a9bae04310727c0ad8e80b59803766b,2026-04-28T13:17:38Z,U,0.0,211009922.0,211009922.0,132154.0,132154.0,,,,,,8.67,7.09,0.0,,,0.0,1.0,0.0,2.249724399773467,8.99,9.54,7.8,
20260428,20260429,20260430,002989.SZ,中天精装,4,0.2352987686853616,68.898305,0.1736599148755986,装修装饰,PFILL_READY,1,0,1,strong_open_tradable,26.2,t1_open,pfill_truth_v4_maturity_resolved,09:30:00,10:30:00,25055100748,1,467d730c3a9bae04310727c0ad8e80b59803766b,2026-04-28T13:17:38Z,U,0.0,69873840.0,69873840.0,144315.0,144315.0,,,,,,26.3,21.52,1.0,7.0,3.0,0.0,1.0,0.0,2.332693754817213,26.2,28.93,23.67,
20260428,20260429,20260430,601789.SH,宁波建工,5,0.2113286049014733,66.525424,0.4258611773793213,建筑工程,PFILL_READY,1,0,1,strong_open_tradable,5.99,t1_open,pfill_truth_v4_maturity_resolved,09:30:00,10:30:00,25055100748,1,467d730c3a9bae04310727c0ad8e80b59803766b,2026-04-28T13:17:38Z,U,0.0,123425406.0,123425406.0,93400.0,93400.0,,,,,,5.98,4.9,1.0,4.0,3.0,0.0,1.0,0.0,2.396070550322968,5.99,6.58,5.38,
20260428,20260429,20260430,600726.SH,华电能源,6,0.3155666667134554,41.067797,0.0164,火力发电,PFILL_READY,1,0,1,strong_open_tradable,6.95,t1_open,pfill_truth_v4_maturity_resolved,09:30:00,10:30:00,25055100748,1,467d730c3a9bae04310727c0ad8e80b59803766b,2026-04-28T13:17:38Z,U,1.0,104256575.0,104256575.0,141023.0,141047.0,,,,,,7.02,5.74,0.0,,,0.0,1.0,0.0,1.6233847696238304,6.95,7.72,6.32,
20260428,20260429,20260430,600623.SH,华谊集团,7,0.1471718734522159,68.016949,0.83,化工原料,PFILL_READY,1,0,1,strong_open_tradable,10.8,t1_open,pfill_truth_v4_maturity_resolved,09:30:00,10:30:00,25055100748,1,467d730c3a9bae04310727c0ad8e80b59803766b,2026-04-28T13:17:38Z,U,0.0,50419180.0,50419180.0,111737.0,111737.0,,,,,,10.81,8.85,1.0,1.0,4.0,0.0,1.0,0.0,2.309669703411247,10.8,11.89,9.73,
20260428,20260429,20260430,002175.SZ,东方智造,8,0.2127196546126217,75.338983,0.0164,电器仪表,PFILL_READY,1,0,0,soft_not_tradable,,,pfill_truth_v4_maturity_resolved,09:30:00,10:30:00,25055100748,1,467d730c3a9bae04310727c0ad8e80b59803766b,2026-04-28T13:17:38Z,U,6.0,24549683.0,24549683.0,93124.0,95445.0,,,,,,2.89,2.37,0.0,,,0.0,1.0,0.0,1.1719110129012438,,3.18,2.6,
20260428,20260429,20260430,001358.SZ,兴欣新材,9,0.1512596077579156,58.016949,0.83,化工原料,PFILL_READY,1,0,1,strong_open_tradable,30.69,t1_open,pfill_truth_v4_maturity_resolved,09:30:00,10:30:00,25055100748,1,467d730c3a9bae04310727c0ad8e80b59803766b,2026-04-28T13:17:38Z,U,1.0,19216899.0,19216899.0,131054.0,143830.0,,,,,,30.99,25.35,1.0,1.0,4.0,0.0,1.0,0.0,1.772742667846123,30.69,34.09,27.89,
20260428,20260429,20260430,603259.SH,药明康德,10,0.2114588951114115,47.711864,0.5394931282264485,化学制药,PFILL_READY,1,0,1,strong_open_tradable,111.0,t1_open,pfill_truth_v4_maturity_resolved,09:30:00,10:30:00,25055100748,1,467d730c3a9bae04310727c0ad8e80b59803766b,2026-04-28T13:17:38Z,U,0.0,844971185.0,844971185.0,93541.0,93541.0,,,,,,110.57,90.47,1.0,3.0,3.0,0.0,1.0,0.0,3.25,111.0,121.63,99.51,
