ts_code,trade_date,name,close,pct_change,turnover_rate,amount,l_sell,l_buy,l_amount,net_amount,net_rate,amount_rate,float_values,reason
600208.SH,20260424,衢州发展,4.73,10.0,4.22,4675592609.0,294774274.18,381795196.19,676569470.37,87020922.01,1.86,14.47,40242728074.01,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券
600227.SH,20260424,赤天化,3.96,7.6087,28.2,1408139259.0,141254329.0,188515772.0,329770101.0,47261443.0,3.36,23.42,5059295219.88,有价格涨跌幅限制的日换手率达到20%的前五只证券
600243.SH,20260424,*ST海华,3.51,-4.878,1.01,47722714.0,13090046.17,11903187.0,24993233.17,-1186859.17,-2.49,52.37,1540363500.0,ST、*ST证券连续三个交易日内收盘价格跌幅偏离值累计达到12%的证券
600338.SH,20260424,西藏珠峰,22.57,9.9903,19.94,3953791491.0,420030604.89,790827206.41,1210857811.3,370796601.52,9.38,30.63,20633723491.76,有价格涨跌幅限制的日价格振幅达到15%的前五只证券
600396.SH,20260424,华电辽能,9.2,-6.409,29.58,4377292920.0,309171319.14,344923268.0,654094587.14,35751948.86,0.82,14.94,13548902716.4,有价格涨跌幅限制的日换手率达到20%的前五只证券
600421.SH,20260424,*ST华嵘,4.76,-4.99,0.03,4388761.0,3600528.0,2352674.0,5953202.0,-1247854.0,-28.43,135.65,931056000.0,ST、*ST证券连续三个交易日内收盘价格跌幅偏离值累计达到12%的证券
600488.SH,20260424,津药药业,6.12,-9.1988,17.91,1274136884.0,89260497.07,66226869.0,155487366.07,-23033628.07,-1.81,12.2,6682346481.6,有价格涨跌幅限制的日价格振幅达到15%的前五只证券
600537.SH,20260424,亿晶光电,3.72,10.0592,17.7,745196400.0,61626111.94,143122809.41,204748921.35,81496697.47,10.94,27.48,4403419866.96,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前五只证券
600636.SH,20260424,*ST国化,5.26,-4.1894,6.37,377354886.0,59060837.52,25708407.17,84769244.69,-33352430.35,-8.84,22.46,2307229578.52,ST、*ST证券连续三个交易日内收盘价格跌幅偏离值累计达到12%的证券
600696.SH,20260424,*ST岩石,1.38,5.3435,1.55,21532548.0,3577480.0,2014385.0,5591865.0,-1563095.0,-7.26,25.97,461567814.78,ST、*ST证券连续三个交易日内收盘价格涨幅偏离值累计达到12%的证券
600726.SH,20260424,华电能源,5.8,10.0569,6.67,2858738701.0,376909086.61,299264756.0,676173842.61,-77644330.61,-2.72,23.65,43434278006.76,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前五只证券
600726.SH,20260424,华电能源,5.8,10.0569,6.67,4650458500.0,513178224.21,536612930.0,1049791154.21,23434705.79,0.5,22.57,43434278006.76,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券
600736.SH,20260424,苏州高新,8.5,1.5532,28.0,2919083849.0,274338026.21,307443907.28,581781933.49,33105881.07,1.13,19.93,9785989709.5,有价格涨跌幅限制的日换手率达到20%的前五只证券
600770.SH,20260424,综艺股份,6.97,9.9369,6.95,939932582.0,107051517.02,163375433.03,270426950.05,56323916.01,5.99,28.77,9061000000.0,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券
600986.SH,20260424,浙文互联,12.3,1.4015,30.19,5518048619.0,475438824.6,510162450.21,985601274.81,34723625.61,0.63,17.86,18294700962.6,有价格涨跌幅限制的日换手率达到20%的前五只证券
601778.SH,20260424,晶科科技,7.17,-0.2782,28.46,7597041840.0,879063462.94,863587253.04,1742650715.98,-15476209.9,-0.2,22.94,25615468435.8,有价格涨跌幅限制的日换手率达到20%的前五只证券
603060.SH,20260424,国检集团,7.29,9.9548,7.01,536508238.0,90261981.93,81320891.79,171582873.72,-8941090.14,-1.67,31.98,5860875609.81,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券
603097.SH,20260424,江苏华辰,29.42,-10.0031,2.3,108934329.0,13633953.0,12797851.0,26431804.0,-836102.0,-0.77,24.26,4707608849.74,有价格涨跌幅限制的日收盘价格跌幅偏离值达到7%的前五只证券
