trade_date,verify_date,rank,ts_code,name,prob,StrengthScore,ThemeBoost,board,run_id,run_attempt,commit_sha,generated_at_utc,target_trade_date,Probability,signal_date,exec_date,exit_date,p_fill_pred,e_ret_pred,cost_est,risk_penalty,ev_pred,weight_exec,regime,risk_budget,version,generated_at_bjt
20260305,20260306,30,600800.SH,渤海化学,0.1171391495994511,42.623188,0.559801681970459,化工原料,22716870000,1,3086851ec77d64e6577b0adbb3619207f4272071,2026-03-05T11:59:41Z,20260306,0.1171391495994511,20260305,20260306,,0.35,0.00919357953389491,0.0008,0.0,0.002417752836863218,,,,1,2026-03-05 22:06:45+0800
20260305,20260306,31,002986.SZ,宇新股份,0.0986864667125312,51.028986,0.479801681970459,化工原料,22716870000,1,3086851ec77d64e6577b0adbb3619207f4272071,2026-03-05T11:59:41Z,20260306,0.0986864667125312,20260305,20260306,,0.35,0.008399999047287313,0.0008,0.0,0.0021399996665505596,,,,1,2026-03-05 22:06:45+0800
20260305,20260306,32,000555.SZ,神州信息,0.0932722179814145,57.550725,0.3601210427490234,软件服务,22716870000,1,3086851ec77d64e6577b0adbb3619207f4272071,2026-03-05T11:59:41Z,20260306,0.0932722179814145,20260305,20260306,,0.35,0.007878529667689505,0.0008,0.0,0.0019574853836913267,,,,1,2026-03-05 22:06:45+0800
20260305,20260306,33,603067.SH,振华股份,0.0813974144545046,54.57971,0.479801681970459,化工原料,22716870000,1,3086851ec77d64e6577b0adbb3619207f4272071,2026-03-05T11:59:41Z,20260306,0.0813974144545046,20260305,20260306,,0.35,0.007881327479546514,0.0008,0.0,0.00195846461784128,,,,1,2026-03-05 22:06:45+0800
20260305,20260306,34,002559.SZ,亚威股份,0.0708363671836938,63.521739,0.1069133379015616,机床制造,22716870000,1,3086851ec77d64e6577b0adbb3619207f4272071,2026-03-05T11:59:41Z,20260306,0.0708363671836938,20260305,20260306,,0.35,0.006445831029215499,0.0008,0.0,0.0014560408602254243,,,,1,2026-03-05 22:06:45+0800
20260305,20260306,35,300162.SZ,雷曼光电,0.0670599741173652,40.985507,1.0,元器件,22716870000,1,3086851ec77d64e6577b0adbb3619207f4272071,2026-03-05T11:59:41Z,20260306,0.0670599741173652,20260305,20260306,,0.35,0.009011799223520956,0.0008,0.0,0.0023541297282323346,,,,1,2026-03-05 22:06:45+0800
20260305,20260306,36,002449.SZ,国星光电,0.063610886221673,72.130435,0.6230854212758787,半导体,22716870000,1,3086851ec77d64e6577b0adbb3619207f4272071,2026-03-05T11:59:41Z,20260306,0.063610886221673,20260305,20260306,,0.35,0.007777582850477826,0.0008,0.0,0.001922153997667239,,,,1,2026-03-05 22:06:45+0800
20260305,20260306,37,000815.SZ,美利云,0.0515873706978747,40.072464,0.2566570212508551,通信设备,22716870000,1,3086851ec77d64e6577b0adbb3619207f4272071,2026-03-05T11:59:41Z,20260306,0.0515873706978747,20260305,20260306,,0.35,0.006317592184688806,0.0008,0.0,0.0014111572646410822,,,,1,2026-03-05 22:06:45+0800
20260305,20260306,38,600666.SH,奥瑞德,0.0492471457304321,67.028986,1.0,元器件,22716870000,1,3086851ec77d64e6577b0adbb3619207f4272071,2026-03-05T11:59:41Z,20260306,0.0492471457304321,20260305,20260306,,0.35,0.008477414371912963,0.0008,0.0,0.002167095030169537,,,,1,2026-03-05 22:06:45+0800
20260305,20260306,39,002952.SZ,亚世光电,0.0477245668928666,49.956522,1.0,元器件,22716870000,1,3086851ec77d64e6577b0adbb3619207f4272071,2026-03-05T11:59:41Z,20260306,0.0477245668928666,20260305,20260306,,0.35,0.008431737006785999,0.0008,0.0,0.0021511079523750995,,,,1,2026-03-05 22:06:45+0800
20260305,20260306,40,600590.SH,泰豪科技,0.0421271078727462,50.565217,0.1766570212508551,通信设备,22716870000,1,3086851ec77d64e6577b0adbb3619207f4272071,2026-03-05T11:59:41Z,20260306,0.0421271078727462,20260305,20260306,,0.35,0.005793784299934952,0.0008,0.0,0.001227824504977233,,,,1,2026-03-05 22:06:45+0800
20260305,20260306,41,300708.SZ,聚灿光电,0.0405714829256275,23.550725,0.7030854212758787,半导体,22716870000,1,3086851ec77d64e6577b0adbb3619207f4272071,2026-03-05T11:59:41Z,20260306,0.0405714829256275,20260305,20260306,,0.35,0.0073264007515964616,0.0008,0.0,0.0017642402630587617,,,,1,2026-03-05 22:06:45+0800
20260305,20260306,42,300265.SZ,通光线缆,0.0392174447042998,25.57971,0.8746272018253463,电气设备,22716870000,1,3086851ec77d64e6577b0adbb3619207f4272071,2026-03-05T11:59:41Z,20260306,0.0392174447042998,20260305,20260306,,0.35,0.0078004049466050334,0.0008,0.0,0.0019301417313117618,,,,1,2026-03-05 22:06:45+0800
20260305,20260306,43,300241.SZ,瑞丰光电,0.0358032351986228,34.15942,0.6230854212758787,半导体,22716870000,1,3086851ec77d64e6577b0adbb3619207f4272071,2026-03-05T11:59:41Z,20260306,0.0358032351986228,20260305,20260306,,0.35,0.006943353319786321,0.0008,0.0,0.001630173661925212,,,,1,2026-03-05 22:06:45+0800
20260305,20260306,44,605098.SH,行动教育,0.0332275670199904,72.985507,0.0,文教休闲,22716870000,1,3086851ec77d64e6577b0adbb3619207f4272071,2026-03-05T11:59:41Z,20260306,0.0332275670199904,20260305,20260306,,0.35,0.004996827010599713,0.0008,0.0,0.0009488894537098993,,,,1,2026-03-05 22:06:45+0800
20260305,20260306,45,002913.SZ,奥士康,0.0325328830817013,59.855072,1.0,元器件,22716870000,1,3086851ec77d64e6577b0adbb3619207f4272071,2026-03-05T11:59:41Z,20260306,0.0325328830817013,20260305,20260306,,0.35,0.00797598649245104,0.0008,0.0,0.0019915952723578638,,,,1,2026-03-05 22:06:45+0800
20260305,20260306,46,920001.BJ,纬达光电,0.0324301508846277,42.449275,1.0,元器件,22716870000,1,3086851ec77d64e6577b0adbb3619207f4272071,2026-03-05T11:59:41Z,20260306,0.0324301508846277,20260305,20260306,,0.35,0.007972904526538831,0.0008,0.0,0.001990516584288591,,,,1,2026-03-05 22:06:45+0800
20260305,20260306,47,688055.SH,龙腾光电,0.030074464109315,45.463768,1.0,元器件,22716870000,1,3086851ec77d64e6577b0adbb3619207f4272071,2026-03-05T11:59:41Z,20260306,0.030074464109315,20260305,20260306,,0.35,0.007902233923279451,0.0008,0.0,0.0019657818731478077,,,,1,2026-03-05 22:06:45+0800
20260305,20260306,48,002339.SZ,积成电子,0.0286177547139121,44.304348,0.8746272018253463,电气设备,22716870000,1,3086851ec77d64e6577b0adbb3619207f4272071,2026-03-05T11:59:41Z,20260306,0.0286177547139121,20260305,20260306,,0.35,0.007482414246893401,0.0008,0.0,0.0018188449864126903,,,,1,2026-03-05 22:06:45+0800
