rank,trade_date,target_date,ts_code,name,close_T,eret_pred_raw,eret_plus_value,eret_plus_delta,eret_plus_direction,eret_plus_conf,eret_plus_conf_score,eret_plus_src,r_p05,r_p25,r_p50,r_p75,r_p95,close_T2_p05,close_T2_p25,close_T2_p50,close_T2_p75,close_T2_p95,rank_eret_plus,rank_r_p50,p_premium,e_premium,score_ev,risk_flags,confidence,data_quality,dec_rank,dec_weight,dec_can_buy,dec_p_fill,dec_reason
41,20260420,20260422,000949.SZ,新乡化纤,8.04,0.0,-0.0024277388456727766,-0.0024277388456727766,down,high,1.0,ehx:coldstart_v1,-0.08467337183863924,-0.03615517809312629,-0.0024306905819551634,0.03129379692921596,0.07981199067472979,7.387251256868177,7.7545045370071195,8.020480979680789,8.295580309280341,8.707990686740668,41,41,0.0644640168717705,0.0,0.0,,,,,,,,
42,20260420,20260422,600433.SH,冠豪高新,4.04,0.0,-0.0025030753086485,-0.0025030753086485,down,high,1.0,ehx:coldstart_v1,-0.08474889449574408,-0.03623070075023113,-0.002506213239060007,0.031218274272111116,0.07973646801762495,3.711721545682671,3.8962478146852293,4.02988757575306,4.168111127839253,4.375326562979546,42,42,0.0622332418958614,0.0,0.0,,,,,,,,
43,20260420,20260422,603912.SH,佳力图,11.59,0.0,-0.0025351248021347806,-0.0025351248021347806,down,high,1.0,ehx:coldstart_v1,-0.08478102492900934,-0.03626283118349639,-0.002538343672325263,0.03118614383884586,0.07970433758435969,10.647888743141387,11.17724288739599,11.560617903543257,11.95714253131538,12.551585533593363,43,43,0.0612842298871241,0.0,0.0,,,,,,,,
44,20260420,20260422,603057.SH,紫燕食品,28.55,0.0,-0.0025655957529041856,-0.0025655957529041856,down,high,1.0,ehx:coldstart_v1,-0.08481157379038369,-0.03629338004487073,-0.0025688925336996103,0.031155594977471515,0.07967378872298533,26.22846738477073,27.532401736687987,28.476752241254587,29.453493595119557,30.917758415448002,44,44,0.0603819598337709,0.0,0.0,,,,,,,,
45,20260420,20260422,001229.SZ,魅视科技,40.07,0.0,-0.0026512311892599454,-0.0026512311892599454,down,high,1.0,ehx:coldstart_v1,-0.08489743318358992,-0.03637923943807696,-0.002654751926905836,0.031069735584265287,0.07958792932977911,36.808562379420756,38.638480545324875,39.963765166246354,41.3345065261923,43.38942960608015,45,45,0.0578462237382889,0.0,0.0,,,,,,,,
46,20260420,20260422,002692.SZ,远程股份,7.26,0.0,-0.0027220430970287517,-0.0027220430970287517,down,high,1.0,ehx:coldstart_v1,-0.08496843584978873,-0.03645024210427579,-0.0027257545931046634,0.03099873291806646,0.07951692666358029,6.6686096704299995,7.0001360650621995,7.240237967115571,7.488575269571711,7.860865819288789,46,46,0.0557494245841006,0.0,0.0,,,,,,,,
47,20260420,20260422,601698.SH,中国卫通,37.38,0.0,-0.0027642029426252455,-0.0027642029426252455,down,high,1.0,ehx:coldstart_v1,-0.08501071166314832,-0.036492517917635366,-0.002768030406464245,0.03095645710470688,0.07947465085022071,34.333621418769454,36.04049920681932,37.27667409400467,38.555249291544726,40.47200307133936,47,47,0.0545010366875895,0.0,0.0,,,,,,,,
48,20260420,20260422,603489.SH,八方股份,38.35,0.0,-0.0028934043072899084,-0.0028934043072899084,down,high,1.0,ehx:coldstart_v1,-0.08514027955010203,-0.036622085804589075,-0.0028975982934179513,0.030826889217753173,0.07934508296326699,35.220005113771904,36.970948997333096,38.239037944815436,39.55062184231495,41.51686004080873,48,48,0.050675277423578,0.0,0.0,,,,,,,,
49,20260420,20260422,002149.SZ,西部材料,60.28,0.0,-0.002997665865426472,-0.002997665865426472,down,high,1.0,ehx:coldstart_v1,-0.08524484912167563,-0.03672665537616268,-0.0030021678649915567,0.030722319646179566,0.0792405133916934,55.35436537656372,58.106278307053515,60.09930070163209,62.160682977122356,65.25096837898965,49,49,0.0475880064573888,0.0,0.0,,,,,,,,
50,20260420,20260422,002242.SZ,九阳股份,11.25,0.0,-0.003082843992326962,-0.003082843992326962,down,high,1.0,ehx:coldstart_v1,-0.08533028700156338,-0.03681209325605043,-0.0030876057448793025,0.03063688176629182,0.07915507551180564,10.32985082056109,10.84339387809144,11.215318005086322,11.599998982731108,12.176686782818546,50,50,0.0450658116730962,0.0,0.0,,,,,,,,
51,20260420,20260422,603017.SH,中衡设计,14.21,0.0,-0.0031199779290351447,-0.0031199779290351447,down,high,1.0,ehx:coldstart_v1,-0.08536753646416745,-0.036849342718654504,-0.0031248552074833787,0.030599632303687743,0.07911782604920158,13.047263334971463,13.69590111511328,14.16566511362841,14.651541831740898,15.379935466896752,51,51,0.0439662450954577,0.0,0.0,,,,,,,,
52,20260420,20260422,600522.SH,中天科技,30.95,0.0,-0.0031717839201336885,-0.0031717839201336885,down,high,1.0,ehx:coldstart_v1,-0.08541950594507632,-0.03690131219956336,-0.0031768246883922342,0.03054766282277889,0.07906585656829271,28.416032007111884,29.828719974566955,30.85183328767186,31.910038983297536,33.496429655346525,52,52,0.0424322268527637,0.0,0.0,,,,,,,,
53,20260420,20260422,002560.SZ,通达股份,15.27,0.0,-0.0031825673582296533,-0.0031825673582296533,down,high,1.0,ehx:coldstart_v1,-0.08543032375324898,-0.03691213000773602,-0.0031876424965648995,0.030536845014606226,0.07905503876012004,14.019648296880742,14.716627679927559,15.221402196439833,15.743490279487988,16.52616955286481,53,53,0.0421129203322745,0.0,0.0,,,,,,,,
54,20260420,20260422,002418.SZ,康盛股份,6.81,0.0,-0.0031831454653494327,-0.0031831454653494327,down,high,1.0,ehx:coldstart_v1,-0.08543090370627597,-0.03691270996076301,-0.0031882224495918894,0.030536265061579235,0.07905445880709305,6.252373905137639,6.5632073593513525,6.7883227793809695,7.0211595693994395,7.3702127953667524,54,54,0.042095802102333,0.0,0.0,,,,,,,,
