rank,trade_date,target_date,ts_code,name,close_T,eret_pred_raw,eret_plus_value,eret_plus_delta,eret_plus_direction,eret_plus_conf,eret_plus_conf_score,eret_plus_src,r_p05,r_p25,r_p50,r_p75,r_p95,close_T2_p05,close_T2_p25,close_T2_p50,close_T2_p75,close_T2_p95,rank_eret_plus,rank_r_p50,p_premium,e_premium,score_ev,risk_flags,confidence,data_quality,dec_rank,dec_weight,dec_can_buy,dec_p_fill,dec_reason
11,20260529,20260602,600828.SH,茂业商业,4.63,0.0,0.0017271372965505722,0.0017271372965505722,flat,high,1.0,ehx:coldstart_v1,-0.08051703374662353,-0.03199884000111058,0.0017256475100605475,0.03545013502123167,0.0839683287667455,4.271819437883132,4.484190676679873,4.637996645683029,4.797078098671294,5.035562293341375,11,11,0.1643284161412956,0.0,0.0,,,,,,,,
12,20260529,20260602,000151.SZ,中成股份,13.31,0.0,0.0011884329838735294,0.0011884329838735294,flat,high,1.0,ehx:coldstart_v1,-0.08105495390028382,-0.03253676015477086,0.0011877273564002604,0.03491221486757139,0.0834304086130852,12.273723525615758,12.883905184200884,13.325818043015358,13.782888338336353,14.468097325554265,12,12,0.152849757392028,0.0,0.0,,,,,,,,
13,20260529,20260602,000926.SZ,福星股份,2.59,0.0,0.0011833480680040552,0.0011833480680040552,flat,high,1.0,ehx:coldstart_v1,-0.08106003279314238,-0.032541839047629424,0.0011826484635416984,0.03490713597471282,0.08342532972022665,2.3883382779199467,2.5070732493116403,2.5930648714961304,2.682005972355785,2.8153404774985673,13,13,0.1527414085025521,0.0,0.0,,,,,,,,
14,20260529,20260602,603439.SH,三力制药,16.28,0.0,0.0011649478750419401,0.0011649478750419401,flat,high,1.0,ehx:coldstart_v1,-0.08107841140689295,-0.03256021766138,0.0011642698497911202,0.034888757360962246,0.08340695110647607,15.012136127852836,15.758456517283266,16.298965351405684,16.858013425043342,17.69610062577548,14,14,0.1523493389925027,0.0,0.0,,,,,,,,
15,20260529,20260602,002806.SZ,华锋股份,18.49,0.0,0.0009810669183294269,0.0009810669183294269,flat,high,1.0,ehx:coldstart_v1,-0.08126209526997874,-0.03274390152446578,0.0009805859867053415,0.034705073497876465,0.0832232672433903,17.04689285926436,17.89437010094087,18.50813992731991,19.14296181631129,20.094644015028795,15,15,0.1484312215709012,0.0,0.0,,,,,,,,
16,20260529,20260602,000608.SZ,阳光股份,4.58,0.0,0.0005698488095713141,0.0005698488095713141,flat,high,1.0,ehx:coldstart_v1,-0.0816729947492901,-0.03315480100377715,0.0005696865073939705,0.0342941740185651,0.08281236776407892,4.220805570767234,4.430640682203548,4.582609907547837,4.7397916172952295,4.97542784491215,16,16,0.1396690263723946,0.0,0.0,,,,,,,,
17,20260529,20260602,000090.SZ,天健集团,3.85,0.0,0.00040461479398960553,0.00040461479398960553,flat,high,1.0,ehx:coldstart_v1,-0.08183814829718668,-0.03331995455167372,0.0004045329594974012,0.03412902047066853,0.08264721421618235,3.547471158766446,3.723831806855138,3.85155776695686,3.9836646770396946,4.1817104546564074,17,17,0.1361482361466615,0.0,0.0,,,,,,,,
18,20260529,20260602,600979.SH,广安爱众,5.3,0.0,0.00038240778159536447,0.00038240778159536447,flat,high,1.0,ehx:coldstart_v1,-0.08186034657430921,-0.03334215282879626,0.00038233468237486556,0.03410682219354599,0.08262501593905981,4.883423320267742,5.126200121856547,5.3020267612424545,5.483884184909673,5.756512580070556,18,18,0.1356750513008831,0.0,0.0,,,,,,,,
19,20260529,20260602,600865.SH,百大集团,10.87,0.0,0.00035752866634824554,0.00035752866634824554,flat,high,1.0,ehx:coldstart_v1,-0.08188521648847963,-0.033367022742966684,0.0003574647682044402,0.03408195227937556,0.0826001460248894,10.015375725049187,10.513284819914283,10.873886336603205,11.246856342880847,11.805987843834512,19,19,0.1351449295491447,0.0,0.0,,,,,,,,
20,20260529,20260602,002251.SZ,步步高,4.88,0.0,0.00015513998402369537,0.00015513998402369537,flat,high,1.0,ehx:coldstart_v1,-0.08208755330562319,-0.033569359560110236,0.00015512795106088694,0.03387961546223201,0.08239780920774584,4.495413552891001,4.7189006545846555,4.8807570831220355,5.0481651232267035,5.2991319762174385,20,20,0.1308324513223179,0.0,0.0,,,,,,,,
21,20260529,20260602,603011.SH,合锻智能,24.92,0.0,7.588792171313142e-05,7.588792171313142e-05,flat,high,1.0,ehx:coldstart_v1,-0.08216679621431361,-0.03364860246880065,7.588504237047109e-05,0.0338003725535416,0.08231856629905542,22.95426820635101,24.095427481816806,24.921891127009093,25.776702148787248,27.058177231485352,21,21,0.1291437561382791,0.0,0.0,,,,,,,,
