rank,trade_date,base_date,buy_date,target_date,ts_code,name,close_T,T+1建议买入方式,T+1可接受买入价,T+1卖出计划,T+2卖出计划,t1_buy_method,t1_max_buy_price,t1_sell_plan,t2_sell_plan,t_limitup_prob,T日涨停概率,t_limitup_strength,T日涨停强度,t1_continue_up_rate,T+1延续上涨率,limitup_continuation_score,涨停接力评分,t_limitup_prob_rule,t_limitup_strength_rule,t1_continue_up_rate_rule,limitup_continuation_score_rule,t_limitup_prob_model,t_touch_limitup_prob_model,t1_up_prob_model,t1_high_profit_prob_model,t1_close_ret_pred,t1_high_ret_pred,limitup_model_score,limitup_model_src,t1_up_rate,T+1上涨率,close_T2_actual,r_actual,r_p50,eret_pred_raw,eret_plus_value,eret_plus_delta,eret_plus_direction,eret_plus_conf,in_p10,in_p50,err_r_p50,err_close_p50,actual_ret,raw_abs_err,plus_abs_err,improve_flag,hit_up
21,20260605,20260605,20260608,20260609,603578.SH,三星新材,15.51,只观察不追,≤15.67,冲高至17.03附近优先兑现；强势放量再看17.62；弱于15.28止损,冲高至17.03附近优先兑现；强势放量再看17.62；弱于15.28止损,只观察不追,≤15.67,冲高至17.03附近优先兑现；强势放量再看17.62；弱于15.28止损,冲高至17.03附近优先兑现；强势放量再看17.62；弱于15.28止损,0.447613,0.447613,48.4284,48.4284,0.816108,0.816108,56.9643,56.9643,0.447613,48.4284,0.816108,56.9643,,,,,,,,rule_fallback:model_missing,0.9694882182282326,0.9694882182282326,13.87,-0.11175674286170723,0.09366623410767289,0.0,0.09819314532609301,0.09819314532609301,up,high,False,False,-0.2054229769693801,-3.1629756840077032,-0.10573823339780786,0.10573823339780786,0.20393137872390088,0,否
22,20260605,20260605,20260608,20260609,000068.SZ,华控赛格,3.56,只观察不追,≤3.60,冲高至3.87附近优先兑现；强势放量再看4.00；弱于3.51止损,冲高至3.87附近优先兑现；强势放量再看4.00；弱于3.51止损,只观察不追,≤3.60,冲高至3.87附近优先兑现；强势放量再看4.00；弱于3.51止损,冲高至3.87附近优先兑现；强势放量再看4.00；弱于3.51止损,0.41893,0.41893,47.5679,47.5679,0.789486,0.789486,54.9363,54.9363,0.41893,47.5679,0.789486,54.9363,,,,,,,,rule_fallback:model_missing,0.9524521559154594,0.9524521559154594,3.79,0.06260547423039599,0.08345547317008753,0.0,0.08703681191202821,0.08703681191202821,up,high,True,True,-0.02084999893969154,-0.07985105040682017,0.06460674157303381,0.06460674157303381,0.0224300703389944,1,是
23,20260605,20260605,20260608,20260609,002708.SZ,光洋股份,15.86,只观察不追,≤16.02,冲高至17.47附近优先兑现；强势放量再看18.07；弱于15.62止损,冲高至17.47附近优先兑现；强势放量再看18.07；弱于15.62止损,只观察不追,≤16.02,冲高至17.47附近优先兑现；强势放量再看18.07；弱于15.62止损,冲高至17.47附近优先兑现；强势放量再看18.07；弱于15.62止损,0.387583,0.387583,46.6275,46.6275,0.841918,0.841918,54.7581,54.7581,0.387583,46.6275,0.841918,54.7581,,,,,,,,rule_fallback:model_missing,0.9735780178563845,0.9735780178563845,14.7,-0.07595272242201138,0.09680969214996017,0.0,0.10165070089407846,0.10165070089407846,up,high,False,False,-0.17276241457197156,-2.772180116180081,-0.0731399747793191,0.0731399747793191,0.17479067567339757,0,否
24,20260605,20260605,20260608,20260609,002631.SZ,德尔未来,7.45,只观察不追,≤7.52,冲高至8.27附近优先兑现；强势放量再看8.56；弱于7.34止损,冲高至8.27附近优先兑现；强势放量再看8.56；弱于7.34止损,只观察不追,≤7.52,冲高至8.27附近优先兑现；强势放量再看8.56；弱于7.34止损,冲高至8.27附近优先兑现；强势放量再看8.56；弱于7.34止损,0.355842,0.355842,45.6752,45.6752,0.852158,0.852158,53.5064,53.5064,0.355842,45.6752,0.852158,53.5064,,,,,,,,rule_fallback:model_missing,0.9818836698002524,0.9818836698002524,8.14,0.08857614762298088,0.10471533920314918,0.0,0.11039447958544393,0.11039447958544393,up,high,True,True,-0.0161391915801683,-0.13243887291155687,0.09261744966442964,0.09261744966442964,0.017777029921014292,1,是
25,20260605,20260605,20260608,20260609,600776.SH,东方通信,15.94,只观察不追,≤16.10,冲高至17.56附近优先兑现；强势放量再看18.16；弱于15.70止损,冲高至17.56附近优先兑现；强势放量再看18.16；弱于15.70止损,只观察不追,≤16.10,冲高至17.56附近优先兑现；强势放量再看18.16；弱于15.70止损,冲高至17.56附近优先兑现；强势放量再看18.16；弱于15.70止损,0.356668,0.356668,45.7,45.7,0.841918,0.841918,53.2897,53.2897,0.356668,45.7,0.841918,53.2897,,,,,,,,rule_fallback:model_missing,0.9735780178563845,0.9735780178563845,16.73,0.048371841636663714,0.09680969214996017,0.0,0.10165070089407846,0.10165070089407846,up,high,True,False,-0.04843785051329646,-0.8303121722516096,0.04956085319949821,0.04956085319949821,0.05208984769458025,0,是
26,20260605,20260605,20260608,20260609,002877.SZ,智能自控,8.64,放弃,不建议买入,冲高至9.51附近优先兑现；强势放量再看9.83；弱于8.51止损,冲高至9.51附近优先兑现；强势放量再看9.83；弱于8.51止损,放弃,不建议买入,冲高至9.51附近优先兑现；强势放量再看9.83；弱于8.51止损,冲高至9.51附近优先兑现；强势放量再看9.83；弱于8.51止损,0.348371,0.348371,45.4511,45.4511,0.834046,0.834046,52.6987,52.6987,0.348371,45.4511,0.834046,52.6987,,,,,,,,rule_fallback:model_missing,0.9721024025977141,0.9721024025977141,8.23,-0.048616568126985824,0.09563159424689473,0.0,0.10035361271189897,0.10035361271189897,up,high,False,False,-0.14424816237388055,-1.2770552138308062,-0.04745370370370372,0.04745370370370372,0.14780731641560269,0,否
27,20260605,20260605,20260608,20260609,600516.SH,方大炭素,5.83,只观察不追,≤5.89,冲高至6.25附近优先兑现；强势放量再看6.46；弱于5.74止损,冲高至6.25附近优先兑现；强势放量再看6.46；弱于5.74止损,只观察不追,≤5.89,冲高至6.25附近优先兑现；强势放量再看6.46；弱于5.74止损,冲高至6.25附近优先兑现；强势放量再看6.46；弱于5.74止损,0.386227,0.386227,46.5868,46.5868,0.738305,0.738305,52.1034,52.1034,0.386227,46.5868,0.738305,52.1034,,,,,,,,rule_fallback:model_missing,0.9155163148685066,0.9155163148685066,5.82,-0.0017167386190544741,0.06877647115918044,0.0,0.0711967390197404,0.0711967390197404,up,high,True,False,-0.07049320977823491,-0.42507698848508557,-0.0017152658662091813,0.0017152658662091813,0.07291200488594958,0,否
28,20260605,20260605,20260608,20260609,300052.SZ,中青宝,13.03,放弃,不建议买入,冲高至14.33附近优先兑现；强势放量再看14.83；弱于12.83止损,冲高至14.33附近优先兑现；强势放量再看14.83；弱于12.83止损,放弃,不建议买入,冲高至14.33附近优先兑现；强势放量再看14.83；弱于12.83止损,冲高至14.33附近优先兑现；强势放量再看14.83；弱于12.83止损,0.338377,0.338377,45.1513,45.1513,0.824433,0.824433,51.9837,51.9837,0.338377,45.1513,0.824433,51.9837,,,,,,,,rule_fallback:model_missing,0.9718348334088349,0.9718348334088349,11.98,-0.0840157984494504,0.0954235634366532,0.0,0.10012472906654486,0.10012472906654486,up,high,False,False,-0.1794393618861036,-2.354625219737077,-0.08058326937835758,0.08058326937835758,0.18070799844490243,0,否
29,20260605,20260605,20260608,20260609,603135.SH,中重科技,14.03,放弃,不建议买入,冲高至15.43附近优先兑现；强势放量再看15.96；弱于13.82止损,冲高至15.43附近优先兑现；强势放量再看15.96；弱于13.82止损,放弃,不建议买入,冲高至15.43附近优先兑现；强势放量再看15.96；弱于13.82止损,冲高至15.43附近优先兑现；强势放量再看15.96；弱于13.82止损,0.309125,0.309125,44.2738,44.2738,0.824433,0.824433,50.5943,50.5943,0.309125,44.2738,0.824433,50.5943,,,,,,,,rule_fallback:model_missing,0.9718348334088349,0.9718348334088349,15.8,0.11881204591855161,0.0954235634366532,0.0,0.10012472906654486,0.10012472906654486,up,high,True,True,0.023388482481898412,0.3652500511963783,0.1261582323592303,0.1261582323592303,0.02603350329268543,1,是
30,20260605,20260605,20260608,20260609,002254.SZ,泰和新材,15.53,放弃,不建议买入,冲高至17.05附近优先兑现；强势放量再看17.64；弱于15.30止损,冲高至17.05附近优先兑现；强势放量再看17.64；弱于15.30止损,放弃,不建议买入,冲高至17.05附近优先兑现；强势放量再看17.64；弱于15.30止损,冲高至17.05附近优先兑现；强势放量再看17.64；弱于15.30止损,0.249972,0.249972,42.4992,42.4992,0.816108,0.816108,47.5764,47.5764,0.249972,42.4992,0.816108,47.5764,,,,,,,,rule_fallback:model_missing,0.9694882182282326,0.9694882182282326,18.79,0.19055117626477833,0.09366623410767289,0.0,0.09819314532609301,0.09819314532609301,up,high,False,False,0.09688494215710544,1.7350604530857758,0.20991629104958154,0.20991629104958154,0.11172314572348853,1,是
