rank,trade_date,target_date,ts_code,name,close_T,T+1建议买入方式,T+1可接受买入价,T+2卖出计划,t1_buy_method,t1_max_buy_price,t2_sell_plan,eret_pred_raw,eret_plus_value,eret_plus_delta,eret_plus_direction,eret_plus_conf,eret_plus_conf_score,eret_plus_src,r_p05,r_p25,r_p50,r_p75,r_p95,close_T2_p05,close_T2_p25,close_T2_p50,close_T2_p75,close_T2_p95,rank_eret_plus,rank_r_p50,p_premium,e_premium,score_ev,risk_flags,confidence,data_quality,dec_rank,dec_weight,dec_can_buy,dec_p_fill,dec_reason
22,20260609,20260611,600183.SH,生益科技,147.47,放弃,不建议买入,未建议买入；若误买，弱于T日收盘价立即减仓,放弃,不建议买入,未建议买入；若误买，弱于T日收盘价立即减仓,0.0,0.08942382705412395,0.08942382705412395,up,high,1.0,ehx:model_v1,0.00340627619373296,0.05192446993924591,0.08564895745041703,0.11937344496158817,0.167891638707102,147.97318004887939,155.3295882521358,160.65733177567165,166.16781479766354,174.42875962219836,22,22,0.1776920604236085,0.0,0.0,,,,,,,,
23,20260609,20260611,002584.SZ,西陇科学,7.88,放弃,不建议买入,未建议买入；若误买，弱于T日收盘价立即减仓,放弃,不建议买入,未建议买入；若误买，弱于T日收盘价立即减仓,0.0,0.08910020363131638,0.08910020363131638,up,high,1.0,ehx:model_v1,0.0031091728149042347,0.051627366560417186,0.08535185407158831,0.11907634158275943,0.16759453532827326,7.90453840909104,8.297508345780813,8.582109604614773,8.876472574212308,9.317761702683747,23,23,0.0228498082323086,0.0,0.0,,,,,,,,
24,20260609,20260611,300411.SZ,金盾股份,10.0,放弃,不建议买入,未建议买入；若误买，弱于T日收盘价立即减仓,放弃,不建议买入,未建议买入；若误买，弱于T日收盘价立即减仓,0.0,0.08910020363131638,0.08910020363131638,up,high,1.0,ehx:model_v1,0.0031091728149042347,0.051627366560417186,0.08535185407158831,0.11907634158275943,0.16759453532827326,10.031140113059696,10.529832926117784,10.891002036313164,11.26455910433034,11.82457068868496,24,24,0.1506918627011109,0.0,0.0,,,,,,,,
25,20260609,20260611,600903.SH,贵州燃气,9.14,放弃,不建议买入,未建议买入；若误买，弱于T日收盘价立即减仓,放弃,不建议买入,未建议买入；若误买，弱于T日收盘价立即减仓,0.0,0.08910020363131638,0.08910020363131638,up,high,1.0,ehx:model_v1,0.0031091728149042347,0.051627366560417186,0.08535185407158831,0.11907634158275943,0.16759453532827326,9.168462063336563,9.624267294471656,9.954375861190233,10.295807021357932,10.807657609458053,25,25,0.0803648787787647,0.0,0.0,,,,,,,,
26,20260609,20260611,603335.SH,迪生力,7.68,放弃,不建议买入,未建议买入；若误买，弱于T日收盘价立即减仓,放弃,不建议买入,未建议买入；若误买，弱于T日收盘价立即减仓,0.0,0.08910020363131638,0.08910020363131638,up,high,1.0,ehx:model_v1,0.0031091728149042347,0.051627366560417186,0.08535185407158831,0.11907634158275943,0.16759453532827326,7.703915606829846,8.086911687258457,8.36428956388851,8.651181392125702,9.081270288910048,26,26,0.1029024784052699,0.0,0.0,,,,,,,,
27,20260609,20260611,002769.SZ,普路通,8.47,放弃,不建议买入,未建议买入；若误买，弱于T日收盘价立即减仓,放弃,不建议买入,未建议买入；若误买，弱于T日收盘价立即减仓,0.0,0.08910020363131638,0.08910020363131638,up,high,1.0,ehx:model_v1,0.0031091728149042347,0.051627366560417186,0.08535185407158831,0.11907634158275943,0.16759453532827326,8.496375675761563,8.918768488421764,9.22467872475725,9.541081561367799,10.01541137331616,27,27,0.1506758738906157,0.0,0.0,,,,,,,,
28,20260609,20260611,600226.SH,亨通股份,7.43,放弃,不建议买入,未建议买入；若误买，弱于T日收盘价立即减仓,放弃,不建议买入,未建议买入；若误买，弱于T日收盘价立即减仓,0.0,0.08910020363131638,0.08910020363131638,up,high,1.0,ehx:model_v1,0.0031091728149042347,0.051627366560417186,0.08535185407158831,0.11907634158275943,0.16759453532827326,7.453137104003353,7.823665864105513,8.09201451298068,8.369567414517443,8.785656021692924,28,28,0.2271476500531772,0.0,0.0,,,,,,,,
29,20260609,20260611,600719.SH,大连热电,9.05,放弃,不建议买入,未建议买入；若误买，弱于T日收盘价立即减仓,放弃,不建议买入,未建议买入；若误买，弱于T日收盘价立即减仓,0.0,0.08910020363131638,0.08910020363131638,up,high,1.0,ehx:model_v1,0.0031091728149042347,0.051627366560417186,0.08535185407158831,0.11907634158275943,0.16759453532827326,9.078181802319024,9.529498798136595,9.856356842863415,10.194425989418958,10.701236473259888,29,29,0.1015665916090079,0.0,0.0,,,,,,,,
30,20260609,20260611,002129.SZ,TCL中环,9.81,放弃,不建议买入,未建议买入；若误买，弱于T日收盘价立即减仓,放弃,不建议买入,未建议买入；若误买，弱于T日收盘价立即减仓,0.0,0.08910020363131638,0.08910020363131638,up,high,1.0,ehx:model_v1,0.0031091728149042347,0.051627366560417186,0.08535185407158831,0.11907634158275943,0.16759453532827326,9.840548450911562,10.329766100521546,10.684072997623215,11.050532481348064,11.599903845599945,30,30,0.2053049700740421,0.0,0.0,,,,,,,,
31,20260609,20260611,002515.SZ,金字火腿,7.36,放弃,不建议买入,未建议买入；若误买，弱于T日收盘价立即减仓,放弃,不建议买入,未建议买入；若误买，弱于T日收盘价立即减仓,0.0,0.08910020363131638,0.08910020363131638,up,high,1.0,ehx:model_v1,0.0031091728149042347,0.051627366560417186,0.08535185407158831,0.11907634158275943,0.16759453532827326,7.382919123211936,7.749957033622689,8.01577749872649,8.290715500787131,8.70288402687213,31,31,0.2940199032683239,0.0,0.0,,,,,,,,
