rank,trade_date,target_date,ts_code,name,close_T,r_p05,r_p25,r_p50,r_p75,r_p95,close_T2_p05,close_T2_p25,close_T2_p50,close_T2_p75,close_T2_p95,rank_r_p50,p_premium,e_premium,score_ev,risk_flags,confidence,data_quality,dec_rank,dec_weight,dec_can_buy,dec_p_fill,dec_reason
17,20260303,20260305,002490.SZ,山东墨龙,10.65,-0.08224268125668407,-0.033724487511171124,0.0,0.033724487511171124,0.08224268125668495,9.809165570613605,10.296823036966128,10.65,11.01529079336484,11.5629101357808,17,0.5824966792696609,0.0,0.0,,,,,,,,
18,20260303,20260305,600026.SH,中远海能,24.9,-0.08224268125668407,-0.033724487511171124,0.0,0.033724487511171124,0.08224268125668495,22.934105418617722,24.07426231177996,24.9,25.754060164768497,27.03440961323398,18,0.4942849421973233,0.0,0.0,,,,,,,,
19,20260303,20260305,601975.SH,招商南油,4.97,-0.08224268125668407,-0.033724487511171124,0.0,0.033724487511171124,0.08224268125668495,4.577610599619682,4.805184083917526,4.97,5.140469036903592,5.39602473003104,19,0.481608165171642,0.0,0.0,,,,,,,,
20,20260303,20260305,000554.SZ,泰山石油,10.85,-0.08224268125668407,-0.033724487511171124,0.0,0.033724487511171124,0.08224268125668495,9.993375252690855,10.490190605735444,10.85,11.222150714366997,11.780053988095931,20,0.4785936974152483,0.0,0.0,,,,,,,,
21,20260303,20260305,600759.SH,洲际油气,7.51,-0.08224268125668407,-0.033724487511171124,0.0,0.033724487511171124,0.08224268125668495,6.917073562000767,7.260952207287851,7.51,7.767590033630981,8.15375165443322,21,0.4509687851561491,0.0,0.0,,,,,,,,
22,20260303,20260305,601857.SH,中国石油,13.15,-0.08224268125668407,-0.033724487511171124,0.0,0.033724487511171124,0.08224268125668495,12.11178659657924,12.71391764658259,13.15,13.601039805891798,14.277208289719955,22,0.437630005232074,0.0,0.0,,,,,,,,
23,20260303,20260305,002506.SZ,协鑫集成,5.16,-0.08224268125668407,-0.033724487511171124,0.0,0.033724487511171124,0.08224268125668495,4.75260979759307,4.988883274248377,5.16,5.336985961855641,5.602311389730415,23,0.3353355018074098,0.0,0.0,,,,,,,,
24,20260303,20260305,600798.SH,宁波海运,4.64,-0.08224268125668407,-0.033724487511171124,0.0,0.033724487511171124,0.08224268125668495,4.273664624192218,4.486127595448153,4.64,4.799150167250033,5.037737373711071,24,0.2783478911997125,0.0,0.0,,,,,,,,
25,20260303,20260305,301302.SZ,华如科技,35.66,-0.08224268125668407,-0.033724487511171124,0.0,0.033724487511171124,0.08224268125668495,32.844586314373814,34.47743751156921,35.66,36.883123914684525,38.7167488677881,25,0.1975493805363172,0.0,0.0,,,,,,,,
26,20260303,20260305,000421.SZ,南京公用,7.73,-0.08224268125668407,-0.033724487511171124,0.0,0.033724487511171124,0.08224268125668495,7.119704212285743,7.4736565329341005,7.73,7.995135946733354,8.392609891979866,26,0.1356207454793368,0.0,0.0,,,,,,,,
27,20260303,20260305,603353.SH,和顺石油,50.97,-0.08224268125668407,-0.033724487511171124,0.0,0.033724487511171124,0.08224268125668495,46.945837477387364,49.27972490086042,50.97,52.71825086739961,55.33911076251149,27,0.1094940314729335,0.0,0.0,,,,,,,,
28,20260303,20260305,920014.BJ,特瑞斯,17.81,-0.08224268125668407,-0.033724487511171124,0.0,0.033724487511171124,0.08224268125668495,16.403872188979182,17.219381998907675,17.81,18.420875965242047,19.336660048662537,28,0.1056439430683384,0.0,0.0,,,,,,,,
29,20260303,20260305,600108.SH,亚盛集团,4.81,-0.08224268125668407,-0.033724487511171124,0.0,0.033724487511171124,0.08224268125668495,4.430242853957881,4.650490028902072,4.81,4.974981100101866,5.222309648178934,29,0.0957703424362245,0.0,0.0,,,,,,,,
30,20260303,20260305,603778.SH,国晟科技,15.51,-0.08224268125668407,-0.033724487511171124,0.0,0.033724487511171124,0.08224268125668495,14.285460845090798,14.99565495806053,15.51,16.041986873717246,16.839505747038515,30,0.0803781974794134,0.0,0.0,,,,,,,,
