rank,trade_date,base_date,buy_date,target_date,ts_code,name,close_T,T+1建议买入方式,T+1可接受买入价,T+1卖出计划,T+2卖出计划,t1_buy_method,t1_max_buy_price,t1_sell_plan,t2_sell_plan,t_limitup_prob,T日涨停概率,t_limitup_strength,T日涨停强度,t1_continue_up_rate,T+1延续上涨率,limitup_continuation_score,涨停接力评分,t1_up_rate,T+1上涨率,close_T2_actual,r_actual,r_p50,eret_pred_raw,eret_plus_value,eret_plus_delta,eret_plus_direction,eret_plus_conf,in_p10,in_p50,err_r_p50,err_close_p50,actual_ret,raw_abs_err,plus_abs_err,improve_flag,hit_up
21,20260609,20260609,20260610,20260611,600611.SH,大众交通,4.48,限价竞价,≤4.69,冲高至5.00附近优先兑现；强势放量再看5.17；弱于4.41止损,冲高至5.00附近优先兑现；强势放量再看5.17；弱于4.41止损,限价竞价,≤4.69,冲高至5.00附近优先兑现；强势放量再看5.17；弱于4.41止损,冲高至5.00附近优先兑现；强势放量再看5.17；弱于4.41止损,0.619282,0.619282,53.5785,53.5785,0.866068,0.866068,66.3676,66.3676,0.9859287075052636,0.9859287075052636,4.22,-0.059787918378973494,0.10976465120613021,0.0,0.11601538667373398,0.11601538667373398,up,high,False,False,-0.1695525695851037,-0.7797489322983289,-0.05803571428571441,0.05803571428571441,0.1740511009594484,0,否
22,20260609,20260609,20260610,20260611,000636.SZ,风华高科,61.08,限价竞价,≤63.14,冲高至65.50附近优先兑现；强势放量再看67.75；弱于60.16止损,冲高至65.50附近优先兑现；强势放量再看67.75；弱于60.16止损,限价竞价,≤63.14,冲高至65.50附近优先兑现；强势放量再看67.75；弱于60.16止损,冲高至65.50附近优先兑现；强势放量再看67.75；弱于60.16止损,0.672673,0.672673,55.1802,55.1802,0.736358,0.736358,65.6609,65.6609,0.9188829996082765,0.9188829996082765,64.3,0.05137515089314194,0.0698798697979121,0.0,0.07237934836817674,0.07237934836817674,up,high,True,True,-0.018504718904770158,-1.2009305983282417,0.05271774721676481,0.05271774721676481,0.019661601151411925,1,是
23,20260609,20260609,20260610,20260611,600110.SH,诺德股份,11.81,限价竞价,≤12.36,冲高至13.19附近优先兑现；强势放量再看13.64；弱于11.63止损,冲高至13.19附近优先兑现；强势放量再看13.64；弱于11.63止损,限价竞价,≤12.36,冲高至13.19附近优先兑现；强势放量再看13.64；弱于11.63止损,冲高至13.19附近优先兑现；强势放量再看13.64；弱于11.63止损,0.533232,0.533232,50.997,50.997,0.874695,0.874695,62.4959,62.4959,0.9865427090378218,0.9865427090378218,12.22,0.034127323534178376,0.11063772051921879,0.0,0.11699017092596314,0.11699017092596314,up,high,True,False,-0.07651039698504042,-0.9716539186356243,0.03471634208298058,0.03471634208298058,0.08227382884298257,0,是
24,20260609,20260609,20260610,20260611,002225.SZ,濮耐股份,4.58,限价竞价,≤4.80,冲高至5.13附近优先兑现；强势放量再看5.31；弱于4.51止损,冲高至5.13附近优先兑现；强势放量再看5.31；弱于4.51止损,限价竞价,≤4.80,冲高至5.13附近优先兑现；强势放量再看5.31；弱于4.51止损,冲高至5.13附近优先兑现；强势放量再看5.31；弱于4.51止损,0.525467,0.525467,50.764,50.764,0.883219,0.883219,62.3402,62.3402,0.98829186007614,0.98829186007614,4.05,-0.12298211700764594,0.11332868530700317,0.0,0.12,0.12,up,high,False,False,-0.23631080231464913,-1.079600000000001,-0.11572052401746735,0.11572052401746735,0.23572052401746735,0,否
25,20260609,20260609,20260610,20260611,688141.SH,杰华特,103.7,限价竞价,≤108.32,冲高至114.95附近优先兑现；强势放量再看118.90；弱于102.14止损,冲高至114.95附近优先兑现；强势放量再看118.90；弱于102.14止损,限价竞价,≤108.32,冲高至114.95附近优先兑现；强势放量再看118.90；弱于102.14止损,冲高至114.95附近优先兑现；强势放量再看118.90；弱于102.14止损,0.523186,0.523186,50.6956,50.6956,0.858997,0.858997,61.6263,61.6263,0.9803205949117548,0.9803205949117548,124.66,0.18408791614522285,0.10302078871019286,0.0,0.10851445342219208,0.10851445342219208,up,high,True,False,0.08106712743502999,9.707051180118683,0.20212150433944065,0.20212150433944065,0.09360705091724857,1,是
26,20260609,20260609,20260610,20260611,300411.SZ,金盾股份,10.0,限价竞价,≤10.43,冲高至11.03附近优先兑现；强势放量再看11.41；弱于9.85止损,冲高至11.03附近优先兑现；强势放量再看11.41；弱于9.85止损,限价竞价,≤10.43,冲高至11.03附近优先兑现；强势放量再看11.41；弱于9.85止损,冲高至11.03附近优先兑现；强势放量再看11.41；弱于9.85止损,0.511129,0.511129,50.3339,50.3339,0.841749,0.841749,60.6224,60.6224,0.9751096851738668,0.9751096851738668,,,0.09809220840778671,0.0,0.10306449223982485,0.10306449223982485,up,high,False,False,,,,,,0,
27,20260609,20260609,20260610,20260611,002769.SZ,普路通,8.47,限价竞价,≤8.83,冲高至9.34附近优先兑现；强势放量再看9.66；弱于8.34止损,冲高至9.34附近优先兑现；强势放量再看9.66；弱于8.34止损,限价竞价,≤8.83,冲高至9.34附近优先兑现；强势放量再看9.66；弱于8.34止损,冲高至9.34附近优先兑现；强势放量再看9.66；弱于8.34止损,0.511093,0.511093,50.3328,50.3328,0.841749,0.841749,60.6206,60.6206,0.9751096851738668,0.9751096851738668,7.7,-0.0953101798043249,0.09809220840778671,0.0,0.10306449223982485,0.10306449223982485,up,high,False,False,-0.1934023882121116,-1.6429562492713172,-0.09090909090909094,0.09090909090909094,0.19397358314891577,0,否
28,20260609,20260609,20260610,20260611,002484.SZ,江海股份,91.98,限价竞价,≤96.26,冲高至102.72附近优先兑现；强势放量再看106.24；弱于90.60止损,冲高至102.72附近优先兑现；强势放量再看106.24；弱于90.60止损,限价竞价,≤96.26,冲高至102.72附近优先兑现；强势放量再看106.24；弱于90.60止损,冲高至102.72附近优先兑现；强势放量再看106.24；弱于90.60止损,0.489349,0.489349,49.6805,49.6805,0.870459,0.870459,60.3056,60.3056,0.9863857914346505,0.9863857914346505,82.8,-0.1051431007205638,0.11041137584638411,0.0,0.11673737476177716,0.11673737476177716,up,high,False,False,-0.21555447656694793,-19.91750373058828,-0.09980430528375739,0.09980430528375739,0.21654168004553453,0,否
29,20260609,20260609,20260610,20260611,603150.SH,万朗磁塑,74.58,限价竞价,≤77.60,冲高至81.59附近优先兑现；强势放量再看84.39；弱于73.46止损,冲高至81.59附近优先兑现；强势放量再看84.39；弱于73.46止损,限价竞价,≤77.60,冲高至81.59附近优先兑现；强势放量再看84.39；弱于73.46止损,冲高至81.59附近优先兑现；强势放量再看84.39；弱于73.46止损,0.517383,0.517383,50.5215,50.5215,0.814426,0.814426,60.2364,60.2364,0.9638365156330294,0.9638365156330294,76.57,0.02633298037435719,0.0898527247876184,0.0,0.0940131508209263,0.0940131508209263,up,high,True,False,-0.0635197444132612,-5.021500788224685,0.026682756771252203,0.026682756771252203,0.0673303940496741,0,是
30,20260609,20260609,20260610,20260611,002137.SZ,实益达,10.79,限价竞价,≤11.27,冲高至11.94附近优先兑现；强势放量再看12.35；弱于10.63止损,冲高至11.94附近优先兑现；强势放量再看12.35；弱于10.63止损,限价竞价,≤11.27,冲高至11.94附近优先兑现；强势放量再看12.35；弱于10.63止损,冲高至11.94附近优先兑现；强势放量再看12.35；弱于10.63止损,0.490669,0.490669,49.7201,49.7201,0.855275,0.855275,59.9886,59.9886,0.9784882640340069,0.9784882640340069,9.91,-0.08507543092814655,0.10117410272152276,0.0,0.1064692643050794,0.1064692643050794,up,high,False,False,-0.1862495336496693,-2.0288033618518053,-0.08155699721964771,0.08155699721964771,0.18802626152472712,0,否
