signal_date,stage,board,samples,hits
20220111,3.0,SZ_MAIN,2,2.0
20220112,2.0,SH_MAIN,4,1.0
20220112,2.0,SZ_MAIN,8,3.0
20220112,3.0,SZ_MAIN,1,1.0
20220113,2.0,SH_MAIN,9,4.0
20220113,2.0,SZ_MAIN,9,3.0
20220113,3.0,SH_MAIN,1,0.0
20220113,3.0,SZ_MAIN,3,3.0
20220114,2.0,SH_MAIN,2,0.0
20220114,2.0,SZ_MAIN,4,4.0
20220114,3.0,SH_MAIN,4,3.0
20220114,3.0,SZ_MAIN,3,3.0
20220117,2.0,SH_MAIN,5,0.0
20220117,2.0,SZ_MAIN,6,0.0
20220117,3.0,SZ_MAIN,4,2.0
20220118,2.0,SH_MAIN,7,4.0
20220118,2.0,SZ_MAIN,3,1.0
20220119,2.0,SH_MAIN,2,0.0
20220119,2.0,SZ_MAIN,2,1.0
20220119,3.0,SH_MAIN,4,3.0
20220119,3.0,SZ_MAIN,1,1.0
20220120,2.0,SH_MAIN,2,1.0
20220120,2.0,SZ_MAIN,6,3.0
20220120,3.0,SZ_MAIN,1,1.0
20220121,2.0,SH_MAIN,3,0.0
20220121,2.0,SZ_MAIN,1,1.0
20220121,3.0,SH_MAIN,1,0.0
20220121,3.0,SZ_MAIN,3,2.0
20220124,2.0,SH_MAIN,3,2.0
20220124,2.0,SZ_MAIN,7,2.0
20220124,3.0,SZ_MAIN,1,1.0
20220125,2.0,SH_MAIN,3,0.0
20220125,2.0,SZ_MAIN,1,0.0
20220125,3.0,SH_MAIN,2,1.0
20220125,3.0,SZ_MAIN,2,2.0
20220126,2.0,SH_MAIN,1,1.0
20220126,2.0,SZ_MAIN,6,0.0
20220127,2.0,SH_MAIN,1,0.0
20220127,2.0,SZ_MAIN,2,2.0
20220127,3.0,SH_MAIN,1,0.0
20220128,2.0,SH_MAIN,1,0.0
20220128,3.0,SZ_MAIN,2,1.0
20220207,2.0,SH_MAIN,2,1.0
20220207,2.0,SZ_MAIN,6,3.0
20220208,2.0,SH_MAIN,5,3.0
20220208,2.0,SZ_MAIN,10,6.0
20220208,3.0,SH_MAIN,1,1.0
20220208,3.0,SZ_MAIN,3,2.0
20220209,2.0,SH_MAIN,3,1.0
20220209,2.0,SZ_MAIN,8,3.0
20220209,3.0,SH_MAIN,3,2.0
20220209,3.0,SZ_MAIN,6,2.0
20220210,2.0,SH_MAIN,2,1.0
20220210,2.0,SZ_MAIN,7,2.0
20220210,3.0,SH_MAIN,1,0.0
20220210,3.0,SZ_MAIN,3,1.0
20220211,2.0,SH_MAIN,3,3.0
20220211,2.0,SZ_MAIN,4,3.0
20220211,3.0,SH_MAIN,1,0.0
20220211,3.0,SZ_MAIN,2,0.0
20220214,2.0,SH_MAIN,3,0.0
20220214,2.0,SZ_MAIN,5,0.0
20220214,3.0,SH_MAIN,3,1.0
20220214,3.0,SZ_MAIN,3,1.0
20220215,2.0,SH_MAIN,3,3.0
20220215,2.0,SZ_MAIN,7,2.0
20220216,2.0,SH_MAIN,4,0.0
20220216,2.0,SZ_MAIN,3,0.0
20220216,3.0,SH_MAIN,3,2.0
20220216,3.0,SZ_MAIN,2,1.0
20220217,2.0,SH_MAIN,4,4.0
20220217,2.0,SZ_MAIN,3,2.0
20220218,2.0,SH_MAIN,1,1.0
20220218,2.0,SZ_MAIN,2,1.0
20220218,3.0,SH_MAIN,4,4.0
20220218,3.0,SZ_MAIN,2,2.0
20220221,2.0,SH_MAIN,9,7.0
20220221,2.0,SZ_MAIN,9,5.0
20220221,3.0,SH_MAIN,1,0.0
20220221,3.0,SZ_MAIN,1,0.0
20220222,2.0,SH_MAIN,1,1.0
20220222,2.0,SZ_MAIN,7,3.0
20220222,3.0,SH_MAIN,7,5.0
20220222,3.0,SZ_MAIN,5,4.0
20220223,2.0,SH_MAIN,4,3.0
