ts_code,trade_date,name,close,pct_change,turnover_rate,amount,l_sell,l_buy,l_amount,net_amount,net_rate,amount_rate,float_values,reason
301139.SZ,20260730,*ST元道,3.23,-13.6364,35.19,92508809.0,11779535.16,9997522.0,21777057.16,-1782013.16,-1.93,23.54,246019888.04,日换手率达到30%的前5只证券
301449.SZ,20260730,天溯计量,39.08,19.9877,23.89,180993302.0,47764217.96,42391829.39,90156047.35,-5372388.57,-2.97,49.81,802839159.32,日涨幅达到15%的前5只证券
301449.SZ,20260730,天溯计量,39.08,19.9877,23.89,224371951.0,57452931.79,51367540.55,108820472.34,-6085391.24,-2.71,48.5,802839159.32,连续三个交易日内，涨幅偏离值累计达到30%的证券
301520.SZ,20260730,万邦医药,44.96,-13.2046,47.15,763570110.0,66022797.37,36347133.59,102369930.96,-29675663.78,-3.89,13.41,1470121997.28,日换手率达到30%的前5只证券
301536.SZ,20260730,星宸科技,104.0,-17.3488,18.14,3736709261.0,636688662.89,918659452.86,1555348115.75,281970789.97,7.55,41.62,19468099248.0,日跌幅达到15%的前5只证券
301583.SZ,20260730,托伦斯,158.07,-18.4449,55.47,3040384349.0,352692356.86,339805022.55,692497379.41,-12887334.31,-0.42,22.78,4873515130.11,日换手率达到30%的前5只证券
301667.SZ,20260730,纳百川,65.82,20.0,17.3,253699353.0,49039543.28,71916931.02,120956474.3,22877387.74,9.02,47.68,1561894777.8,日涨幅达到15%的前5只证券
301668.SZ,20260730,昊创瑞通,37.26,20.0,23.32,200747935.0,28440585.23,47478839.12,75919424.35,19038253.89,9.48,37.82,906482629.98,日涨幅达到15%的前5只证券
301677.SZ,20260730,欣兴工具,82.4,145.3842,78.1,1650201840.0,35638641.78,132907389.15,168546030.93,97268747.37,5.89,10.21,1766657483.2,无价格涨跌幅限制的证券
600199.SH,20260730,金种子酒,8.08,7.4468,12.92,1444848488.0,122843222.06,111117805.42,233961027.48,-11725416.64,-0.81,16.19,5314998337.92,非S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券
600206.SH,20260730,有研新材,35.87,-10.01,11.18,13688478182.0,1916297350.92,1701931719.63,3618229070.55,-214365631.29,-1.57,26.43,30365868018.84,非S证券连续三个交易日内收盘价格跌幅偏离值累计达到20%的证券
600227.SH,20260730,赤天化,3.27,-3.2544,23.09,1006553784.0,145084855.54,110408743.56,255493599.1,-34676111.98,-3.45,25.38,4177751355.81,有价格涨跌幅限制的日换手率达到20%的前五只证券
600228.SH,20260730,返利科技,7.33,10.0601,5.81,171806560.0,27006178.0,55225518.0,82231696.0,28219340.0,16.43,47.86,3049552507.41,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前五只证券
600228.SH,20260730,返利科技,7.33,10.0601,5.81,402127159.0,54788455.08,90719022.0,145507477.08,35930566.92,8.94,36.18,3049552507.41,非S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券
600246.SH,20260730,万通发展,10.5,-10.0257,7.15,1468089825.0,381103387.41,330142381.78,711245769.19,-50961005.63,-3.47,48.45,19849330998.0,有价格涨跌幅限制的日收盘价格跌幅偏离值达到7%的前五只证券
600246.SH,20260730,万通发展,10.5,-10.0257,7.15,4964842395.0,856376818.56,1162596686.0,2018973504.56,306219867.44,6.17,40.67,19849330998.0,非S证券连续三个交易日内收盘价格跌幅偏离值累计达到20%的证券
600353.SH,20260730,旭光电子,21.56,-10.0167,4.73,875508630.0,190771138.36,207493730.64,398264869.0,16722592.28,1.91,45.49,17869168588.04,有价格涨跌幅限制的日收盘价格跌幅偏离值达到7%的前五只证券
600353.SH,20260730,旭光电子,21.56,-10.0167,4.73,3058522116.0,752278125.8,738878471.33,1491156597.13,-13399654.47,-0.44,48.75,17869168588.04,非S证券连续三个交易日内收盘价格跌幅偏离值累计达到20%的证券
600396.SH,20260730,华电辽能,14.54,-10.0248,18.29,4110500901.0,514795014.0,338180987.0,852976001.0,-176614027.0,-4.3,20.75,21413157119.18,有价格涨跌幅限制的日收盘价格跌幅偏离值达到7%的前五只证券
600418.SH,20260730,江淮汽车,24.39,10.0135,3.52,5957091944.0,1202112832.73,809267466.24,2011380298.97,-392845366.49,-6.59,33.76,53267998802.49,非S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券
600539.SH,20260730,狮头股份,14.76,2.5,16.1,510098589.0,37697480.0,41525897.98,79223377.98,3828417.98,0.75,15.53,3394800000.0,有价格涨跌幅限制的日价格振幅达到15%的前五只证券
600584.SH,20260730,长电科技,64.51,-10.0028,8.93,33592555203.0,3141189889.72,3458448974.27,6599638863.99,317259084.55,0.94,19.65,115435133910.7,非S证券连续三个交易日内收盘价格跌幅偏离值累计达到20%的证券
600693.SH,20260730,东百集团,9.19,-2.9567,21.08,1779082435.0,145381553.0,176760871.0,322142424.0,31379318.0,1.76,18.11,7985676066.58,有价格涨跌幅限制的日换手率达到20%的前五只证券
600712.SH,20260730,南宁百货,5.25,10.0629,3.72,103381080.0,29834962.0,48846841.0,78681803.0,19011879.0,18.39,76.11,2827903947.75,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前五只证券
601003.SH,20260730,柳钢股份,4.19,9.9738,1.48,265414185.0,43211339.84,81600202.0,124811541.84,38388862.16,14.46,47.03,10738103508.0,非S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券
601133.SH,20260730,柏诚股份,23.54,-10.0153,2.68,1349177200.0,288538304.54,313634187.76,602172492.3,25095883.22,1.86,44.63,12344063953.76,非S证券连续三个交易日内收盘价格跌幅偏离值累计达到20%的证券
601208.SH,20260730,东材科技,33.26,-9.1257,7.64,7868488840.0,1692921066.93,1635021109.67,3327942176.6,-57899957.26,-0.74,42.29,33598684684.18,非S证券连续三个交易日内收盘价格跌幅偏离值累计达到20%的证券
601616.SH,20260730,广电电气,3.8,10.1449,6.35,203887724.0,38882754.8,27032205.0,65914959.8,-11850549.8,-5.81,32.33,3243966212.2,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前五只证券
601869.SH,20260730,长飞光纤,262.66,-6.759,3.55,11752742807.0,2079106487.95,2078970482.05,4158076970.0,-136005.9,0.0,35.38,106728821555.24,非S证券连续三个交易日内收盘价格跌幅偏离值累计达到20%的证券
603083.SH,20260730,剑桥科技,130.13,-10.0007,8.94,9750657952.0,1573035126.22,1634628135.09,3207663261.31,61593008.87,0.63,32.9,35862314978.49,非S证券连续三个交易日内收盘价格跌幅偏离值累计达到20%的证券
603124.SH,20260730,江南新材,99.42,-9.9701,8.19,2037158112.0,482239036.93,544013327.81,1026252364.74,61774290.88,3.03,50.38,7715867890.2,非S证券连续三个交易日内收盘价格跌幅偏离值累计达到20%的证券
603163.SH,20260730,圣晖集成,69.95,-9.9974,3.61,265104812.0,108452110.24,32383711.0,140835821.24,-76068399.24,-28.69,53.12,6995000000.0,有价格涨跌幅限制的日价格振幅达到15%的前五只证券
603186.SH,20260730,华正新材,101.81,-9.4378,9.18,4764392995.0,1259764931.6,958931331.8,2218696263.4,-300833599.8,-6.31,46.57,15962842637.58,非S证券连续三个交易日内收盘价格跌幅偏离值累计达到20%的证券
603211.SH,20260730,晋拓股份,20.21,-10.0178,4.12,233448213.0,64327807.0,61316401.0,125644208.0,-3011406.0,-1.29,53.82,5493239680.0,有价格涨跌幅限制的日收盘价格跌幅偏离值达到7%的前五只证券
