ts_code,trade_date,turnover_rate,turnover_rate_f,volume_ratio,total_mv,float_mv
300651.SZ,20260609,10.8641,16.4554,0.79,322240.508,
300683.SZ,20260609,3.1895,5.3112,0.85,325927.0336,
002779.SZ,20260609,3.7591,6.6623,1.39,1459920.0,
301099.SZ,20260609,20.1468,26.1784,1.14,1152059.6783,
002865.SZ,20260609,4.7393,6.6964,0.75,2143378.0341,
688190.SH,20260609,1.759,4.8512,0.7,1250400.0,
300697.SZ,20260609,2.2648,4.7902,0.53,684436.48,
301132.SZ,20260609,6.2629,12.3817,0.68,572205.2661,
920188.BJ,20260609,6.5586,6.5586,0.93,222587.757,
002961.SZ,20260609,0.898,3.0458,0.51,903788.8555,
601858.SH,20260609,1.151,6.2763,1.0,1760443.5,
300171.SZ,20260609,0.9323,1.4111,0.66,837050.0477,
600300.SH,20260609,0.9159,1.3257,0.64,496462.6493,
603909.SH,20260609,0.7804,1.3642,0.7,252331.5995,
600113.SH,20260609,1.2095,2.6537,0.88,1477066.5466,
605108.SH,20260609,0.8514,2.711,0.86,328640.0,
000815.SZ,20260609,4.0741,6.0964,0.74,1066533.4957,
002285.SZ,20260609,1.9791,3.7467,0.99,492228.7724,
605222.SH,20260609,2.0564,5.5008,1.02,1071071.2302,
603589.SH,20260609,0.8473,1.3878,0.68,1180089.7183,
605500.SH,20260609,1.705,7.1929,0.55,291737.6,
300205.SZ,20260609,0.348,0.5724,0.49,252872.928,
920593.BJ,20260609,6.3482,12.3031,1.44,643411.5391,
002245.SZ,20260609,8.5884,9.9413,1.18,3686793.8834,
600100.SH,20260609,0.813,1.1897,0.78,2442367.0328,
301558.SZ,20260609,2.5819,2.5819,0.85,527741.4682,
600017.SH,20260609,0.7616,1.3712,0.73,830426.5498,
688536.SH,20260609,3.2234,5.0136,0.83,3967737.0795,
600235.SH,20260609,1.1688,1.8346,0.61,200943.6,
688119.SH,20260609,0.7287,1.6771,0.77,493875.0,
000723.SZ,20260609,1.5432,2.4674,0.68,1818644.6922,
603187.SH,20260609,0.9877,1.236,0.84,476064.6438,
301216.SZ,20260609,1.2765,2.0176,0.77,1430769.9868,
688515.SH,20260609,9.0744,10.2176,0.51,1599840.0,
300892.SZ,20260609,2.2828,3.5778,0.63,220000.0,
920346.BJ,20260609,3.6413,5.7779,1.82,158805.9598,
000048.SZ,20260609,5.5179,12.0879,1.4,859458.6578,
600744.SH,20260609,5.4615,11.909,0.51,1588339.1823,
688279.SH,20260609,2.0705,4.4503,1.0,2408301.6677,
600735.SH,20260609,1.4696,2.606,0.62,273131.7255,
000972.SZ,20260609,0.6024,0.936,0.48,272263.1034,
600257.SH,20260609,2.2158,3.0815,0.89,247355.9146,
603858.SH,20260609,0.3739,0.9734,0.76,1543888.1991,
603119.SH,20260609,7.9691,7.9691,0.69,3447149.1667,
300027.SZ,20260609,3.7648,3.7965,1.53,524381.6187,
002580.SZ,20260609,11.3127,14.7215,0.53,970371.907,
603052.SH,20260609,2.6235,7.9384,0.68,1684123.3386,
300946.SZ,20260609,2.3895,3.8047,0.86,759913.9938,
300461.SZ,20260609,3.0295,5.3766,0.62,722146.6698,
600879.SH,20260609,5.4245,7.2857,1.02,7248560.6368,
600318.SH,20260609,1.7438,2.2825,0.83,328145.6845,
300553.SZ,20260609,4.7763,5.5869,0.7,734971.8827,
002138.SZ,20260609,12.8396,14.0585,1.33,4937087.2815,
300226.SZ,20260609,1.7621,2.3937,0.9,660072.065,
000766.SZ,20260609,1.9142,2.3829,0.87,2431700.6828,
000777.SZ,20260609,1.5391,2.1156,0.77,642224.4683,
600167.SH,20260609,0.6872,2.3069,0.97,1337338.7136,
600222.SH,20260609,3.6121,4.6958,0.47,465421.7755,
688197.SH,20260609,2.3791,2.7306,1.07,473373.6688,
688103.SH,20260609,3.5614,5.4959,1.48,578565.4856,
301173.SZ,20260609,1.697,1.697,0.77,295124.8339,
300424.SZ,20260609,5.6663,6.6634,0.83,469273.5001,
603288.SH,20260609,0.4073,1.5874,1.01,20417017.2296,
688177.SH,20260609,0.6804,1.7349,0.9,689443.2,
688655.SH,20260609,6.5615,11.8979,0.7,676020.52,
002052.SZ,20260609,1.9798,2.7519,0.9,699768.9154,
600800.SH,20260609,1.6055,2.5862,0.79,409606.6847,
002390.SZ,20260609,0.9342,1.6283,0.97,561773.1899,
002777.SZ,20260609,1.176,1.9173,0.89,559276.5221,
000878.SZ,20260609,1.9921,3.0092,0.59,3933648.5129,
000893.SZ,20260609,1.192,1.7693,0.69,4293141.8148,
920030.BJ,20260609,1.0093,1.5683,0.87,89956.3595,
603580.SH,20260609,0.7492,2.2658,1.11,293622.6804,
002275.SZ,20260609,0.2653,0.768,0.79,747974.8278,
603596.SH,20260609,3.0937,4.6032,1.24,2509799.891,
688509.SH,20260609,7.4919,7.4919,1.83,391160.0,
920663.BJ,20260609,1.9737,3.169,0.9,200462.3175,
600031.SH,20260609,1.6863,2.4816,1.14,18316448.8385,
300785.SZ,20260609,4.6798,6.2647,0.62,806556.8656,
920523.BJ,20260609,2.6008,3.3633,1.5,199361.0942,
002398.SZ,20260609,2.4062,2.5268,1.13,300854.4961,
000993.SZ,20260609,4.4991,9.0974,0.53,577476.7848,
300821.SZ,20260609,9.4007,19.6526,1.48,2118000.0,
301567.SZ,20260609,4.5029,4.5029,0.75,288000.0,
002830.SZ,20260609,3.6973,5.6134,0.7,269920.992,
002472.SZ,20260609,7.1091,8.3127,1.1,3813656.0656,
600692.SH,20260609,1.862,1.9999,0.76,225129.001,
002484.SZ,20260609,7.8263,12.2261,0.97,7823119.2093,
002821.SZ,20260609,2.0853,3.3336,1.31,4019425.4159,
688335.SH,20260609,1.3521,2.376,0.64,419678.0683,
601939.SH,20260609,1.2634,1.8253,1.17,271017995.1915,
301106.SZ,20260609,3.114,9.5151,0.66,295356.9488,
301629.SZ,20260609,7.3593,7.3593,0.98,1495088.2274,
688157.SH,20260609,0.7553,1.601,0.53,422207.4849,
688206.SH,20260609,2.1542,3.3531,0.86,1780368.4891,
688152.SH,20260609,1.1172,2.1021,0.84,317616.3029,
920931.BJ,20260609,2.3584,2.3584,1.21,100880.82,
002963.SZ,20260609,10.4042,18.5473,4.26,269595.3545,
301175.SZ,20260609,1.9653,1.9653,0.74,790399.56,
